"",Count of Clients for DQ,Count of Clients
Total number of persons served,159,159
Number of adults age 18 or over,130,130
Number of children under age 18,29,29
Number of persons with unknown age,0,0
Number of leavers,137,137
Number of adult leavers,112,112
Number of adult and head of household leavers,112,112
Number of stayers,22,22
Number of adult stayers,18,18
Number of veterans,10,10
Number of chronically homeless persons,18,18
Number of youth under age 25,13,13
Number of parenting youth under age 25 with children,4,4
Number of adult heads of household,127,127
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,0,0
