ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,ResidentialAffiliation,TrackingMethod,HMISParticipatingProject,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1544,7007,ES-EE RHY,,2014-01-01,,1,1,1,,0,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1546,7007,ES-EE ESG I,,2020-10-01,,1,1,1,,0,1,4,2,,2022-04-12 12:00:00,2022-04-12 12:00:00,,,12345
1547,7007,ES-EE ESG II (with CE elements),,2018-05-01,,1,1,1,,0,1,4,0,,2022-05-03 12:00:00,2022-05-03 12:00:00,,,12345
1548,7007,ES-NbN ESG,,2012-02-06,,1,1,1,,3,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1550,7007,PSH HOWPA,,2010-11-01,,1,3,3,,,1,3,0,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1551,7007,PSH VASH,,2007-09-01,,1,3,1,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1552,7007,PSH CoC I,,2018-10-01,,1,3,2,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1553,7007,RRH VA,,2016-12-01,,1,13,3,,,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1555,7007,RRH CoC II,,2018-07-31,,1,13,3,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1556,7007,RRH ESG I,,2021-07-01,,1,13,3,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1557,7007,SH VA-HCHV,,2016-10-01,,1,8,1,,,1,4,0,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1558,7007,TH HOPWA,,2014-10-28,,1,2,2,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1559,7007,TH RHY,,2018-10-01,,1,2,3,,,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1560,7007,TH ESG,,2004-04-01,,1,2,2,,,1,4,1,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1561,7007,TH CoC,,1996-07-01,,1,2,1,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1562,7007,TH YHDP,,2018-07-31,,1,2,3,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1563,7007,TH VA,,2017-07-01,,1,2,2,,,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
