ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
49752550,1544,XX-500,391062,2 Anywhere Ave.,,Cincinnati,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752580,1557,XX-500,391062,12 Street St.,,Cincinnati,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752610,1559,XX-500,391062,55 Tree St.,,Cincinnati,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752640,1553,XX-500,391062,1 Coconut St.,,Cincinnati,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752680,1563,XX-500,391062,1 One St.,,Cincinnatu,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752830,1548,XX-500,391062,1 Elrod St,,,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752860,1560,XX-500,391062,1 Plus St.,,Cincinnati,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49752890,1550,XX-500,391062,1 Central St.,,Cincinnati,OH,45247,2,2022-04-10 00:00:00,2022-04-10 00:00:00,,,12345
49753030,1555,XX-500,391062,2 Two St.,,Cincinnati,OH,45214,1,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753060,1562,XX-500,391062,3  Thirty St.,,Cincinnati,OH,45247,2,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753100,1558,XX-500,391062,123 Teal St.,,Cincinnati,OH,45247,2,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753130,1561,XX-500,391062,45 Yellow Ave.,,Cincinnati,OH,45247,2,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753160,1551,XX-500,391062,23 Rain Ave.,,Cincinnati,OH,45247,2,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753200,1552,XX-500,391062,123 Anywhere Ave.,,Anytown,TX,12345,2,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753220,1556,XX-500,391062,123 Anywhere St.,,Cincinnati,OH,45247,2,2022-04-11 00:00:00,2022-04-11 00:00:00,,,12345
49753280,1546,XX-500,391062,1 Orange Rd.,,Cincinnati,OH,45247,2,2022-04-12 00:00:00,2022-04-12 00:00:00,,,12345
49754190,1547,XX-500,391062,123 Anywho,,Cincinnati,OH,45206,1,2022-05-03 00:00:00,2022-05-03 00:00:00,,,12345
