RowTotal,Stat,ReturnTime,HHType,HHChronic,HHVet,HHDisability,HHFleeingDV,HoHRace,HoHEthnicity,HHAdult,HHChild,HHNoDOB,HHAdultAge,HHParent,ESTStatus,ESTGeography,ESTLivingSit,ESTDestination,ESTChronic,ESTVet,ESTDisability,ESTFleeingDV,ESTAC3Plus,ESTAdultAge,ESTParent,RRHStatus,RRHMoveIn,RRHGeography,RRHLivingSit,RRHDestination,RRHPreMoveInDays,RRHChronic,RRHVet,RRHDisability,RRHFleeingDV,RRHAC3Plus,RRHAdultAge,RRHParent,PSHStatus,PSHMoveIn,PSHGeography,PSHLivingSit,PSHDestination,PSHHousedDays,PSHChronic,PSHVet,PSHDisability,PSHFleeingDV,PSHAC3Plus,PSHAdultAge,PSHParent,ESDays,THDays,ESTDays,RRHPSHPreMoveInDays,RRHHousedDays,SystemDaysNotPSHHoused,SystemHomelessDays,Other3917Days,TotalHomelessDays,SystemPath,ESTAHAR,RRHAHAR,PSHAHAR,ReportID
1,1,-1,1,0,0,0,0,1,0,1,0,0,25,0,22,2,16,3,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,365,365,0,0,365,365,0,365,2,1,0,0,12345
1,1,-1,1,0,0,0,0,2,0,1,0,0,24,0,21,2,13,-1,0,0,0,0,0,24,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,365,365,0,0,365,365,0,365,2,1,0,0,12345
1,1,-1,1,0,0,0,0,3,0,1,0,0,24,0,21,2,7,-1,0,0,0,0,0,24,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,30,30,0,0,30,30,0,30,2,1,0,0,12345
1,1,-1,1,0,0,0,0,3,0,1,0,0,25,0,21,2,12,-1,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,365,0,365,0,0,365,365,1095,1095,1,1,0,0,12345
1,1,-1,1,0,0,0,0,3,0,1,0,0,25,0,22,2,7,8,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,90,0,90,0,0,90,90,1095,1095,1,1,0,0,12345
1,1,-1,1,0,0,0,0,3,0,1,0,0,55,0,22,2,4,99,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,90,0,90,0,0,90,90,730,1094,1,1,0,0,12345
2,1,-1,1,0,0,0,0,3,1,1,0,0,24,0,0,-1,-1,-1,0,0,0,0,0,-1,0,21,1,1,8,-1,0,0,0,0,0,0,24,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,365,365,0,0,0,4,0,1,0,12345
1,1,-1,1,0,0,0,0,5,0,1,0,0,18,0,0,-1,-1,-1,0,0,0,0,0,-1,0,21,1,1,8,-1,30,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,30,365,365,30,0,30,4,0,1,0,12345
1,1,-1,1,0,0,0,0,5,0,1,0,0,18,0,22,2,8,2,0,0,0,0,0,18,0,21,1,1,4,-1,0,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,365,365,0,60,365,365,0,365,6,1,1,0,12345
1,1,-1,1,0,0,0,0,5,0,1,0,0,24,0,21,2,7,-1,0,0,0,0,0,24,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,60,60,0,0,60,60,0,60,2,1,0,0,12345
