"InventoryID","ProjectID","CoCCode","HouseholdType","Availability","UnitInventory","BedInventory","CHVetBedInventory","YouthVetBedInventory","VetBedInventory","CHYouthBedInventory","YouthBedInventory","CHBedInventory","OtherBedInventory","ESBedType","InventoryStartDate","InventoryEndDate","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4083323","882","XX-500",3,3,5,5,0,0,0,0,0,0,5,2,"2017-08-01","2025-08-01","2019-10-09 00:00:00","2019-10-09 00:00:00","",,12345
"4083326","441","XX-500",1,,25,29,1,2,3,5,4,6,8,,"2017-08-01","2025-08-01","2019-10-09 00:00:00","2019-10-09 00:00:00","",,12345
"4717080","527","XX-500",1,,30,32,3,4,25,0,0,0,0,,"2019-01-01","","2019-12-12 00:00:00","2019-12-12 00:00:00","",,12345
"4717131","790","XX-500",3,2,13,13,0,0,0,0,0,0,13,2,"2019-01-01","","2020-04-29 00:00:00","2020-04-29 00:00:00","",,12345
"4717139","441","XX-500",3,,5,5,0,0,0,0,0,0,5,,"2017-08-01","2025-08-01","2020-04-29 00:00:00","2020-04-29 00:00:00","",,12345
"4717141","792","XX-500",4,,7,7,0,0,0,0,0,0,7,,"2019-01-01","","2020-04-29 00:00:00","2020-04-29 00:00:00","",,12345
"4717143","808","XX-500",3,,12,12,0,0,0,0,0,0,12,,"2017-08-01","2025-08-01","2020-04-29 00:00:00","2020-04-29 00:00:00","",,12345
"4717144","958","XX-500",3,1,2,200,0,0,0,0,0,0,200,1,"2010-01-01","","2020-04-29 00:00:00","2020-04-29 00:00:00","",,12345
"4717147","242","XX-500",3,,32,35,0,0,0,0,0,0,35,,"2017-08-01","2025-08-01","2020-04-29 00:00:00","2020-04-29 00:00:00","",,12345
"4717151","240","XX-500",1,1,2,55,0,0,0,0,0,0,55,1,"2018-10-01","","2020-04-30 00:00:00","2020-04-30 00:00:00","",,12345
"4717153","792","XX-500",1,,42,40,0,0,0,0,0,0,40,,"2019-01-01","","2020-04-30 00:00:00","2020-04-30 00:00:00","",,12345
"4717157","957","XX-500",1,,114,120,0,0,0,0,0,0,120,,"2010-01-01","","2020-05-06 00:00:00","2020-05-06 00:00:00","",,12345
"4717158","808","XX-500",1,,25,25,0,0,0,0,0,0,25,,"2017-08-01","2025-08-01","2020-05-06 00:00:00","2020-05-06 00:00:00","",,12345
"4717159","882","XX-500",1,1,30,30,0,0,0,0,0,0,30,1,"2017-08-01","2025-08-01","2020-05-06 00:00:00","2020-05-06 00:00:00","",,12345
"4717160","790","XX-500",1,1,18,18,0,0,0,0,0,0,18,1,"2019-01-01","","2020-05-06 00:00:00","2020-05-06 00:00:00","",,12345
"4717161","242","XX-500",1,,15,15,0,0,0,0,0,0,15,,"2017-08-01","2025-08-01","2020-05-08 00:00:00","2020-05-08 00:00:00","",,12345
"4717162","960","XX-500",1,1,3,3,0,0,0,0,0,0,3,1,"2010-01-01","","2020-05-08 00:00:00","2020-05-08 00:00:00","",,12345
