"RowTotal","Cohort","Stat","ExitFrom","ExitTo","ReturnTime","HHType","HHVet","HHChronic","HHDisability","HHFleeingDV","HoHRace","HoHEthnicity","HHAdultAge","HHParent","AC3Plus","SystemPath","ReportID"
1,-2,1,2,1,-1,1,0,0,0,0,35,1,25,0,0,1,12345
1,-2,1,2,1,-1,2,0,0,0,0,3,0,25,1,0,1,12345
1,-2,1,2,1,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
14,-2,1,2,1,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
4,-2,1,2,1,-1,99,0,0,1,0,99,99,-1,1,0,1,12345
1,-2,1,2,3,-1,1,0,0,0,0,3,0,25,0,0,1,12345
1,-2,1,2,3,-1,1,0,0,0,0,15,0,25,0,0,1,12345
1,-2,1,2,3,-1,1,0,0,1,0,4,1,25,0,0,1,12345
1,-2,1,2,3,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
3,-2,1,2,3,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,3,30,1,0,0,0,0,3,0,25,0,0,1,12345
1,-2,1,2,3,547,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,4,-1,1,0,0,0,0,5,0,25,0,0,1,12345
1,-2,1,2,4,-1,1,1,0,1,0,23,0,55,0,0,1,12345
2,-2,1,2,4,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
2,-2,1,2,4,-1,99,0,0,1,0,99,99,-1,1,0,1,12345
1,-2,1,2,4,180,1,0,0,0,0,1,0,25,0,0,1,12345
1,-2,1,2,4,730,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,5,-1,2,0,0,0,0,3,0,18,1,0,1,12345
24,-2,1,2,5,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
8,-2,1,2,5,-1,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,5,-1,3,0,0,0,0,35,0,-1,0,0,1,12345
2,-2,1,2,5,-1,99,0,0,0,0,3,0,-1,1,0,1,12345
28,-2,1,2,5,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
14,-2,1,2,5,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,5,-1,99,0,0,1,0,99,99,-1,0,0,1,12345
5,-2,1,2,5,30,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,5,60,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,5,60,3,0,0,0,1,5,0,-1,0,0,1,12345
2,-2,1,2,5,60,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,5,90,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,5,90,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,5,90,99,0,0,0,0,99,99,-1,0,0,1,12345
6,-2,1,2,5,180,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,5,180,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,5,180,3,0,0,0,0,35,0,-1,0,0,1,12345
4,-2,1,2,5,180,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,5,180,99,0,0,1,0,99,99,-1,0,0,1,12345
1,-2,1,2,5,365,1,0,0,0,0,3,0,25,0,0,1,12345
2,-2,1,2,5,365,3,0,0,0,0,3,0,-1,0,0,1,12345
2,-2,1,2,5,365,99,0,0,0,0,99,99,-1,0,0,1,12345
2,-2,1,2,5,547,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,5,547,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,5,730,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,6,-1,1,0,0,1,0,1,0,25,0,0,1,12345
1,-2,1,2,6,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,6,-1,3,0,0,0,0,5,0,-1,0,0,1,12345
4,-2,1,2,6,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,6,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,6,-1,99,0,0,1,0,99,99,-1,1,0,1,12345
1,-2,1,2,6,90,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,6,180,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,6,365,1,0,0,0,0,3,1,25,0,0,1,12345
1,-2,1,2,6,365,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,6,547,1,0,0,0,0,5,0,25,0,0,1,12345
1,-2,1,2,7,-1,1,0,0,0,0,3,0,18,0,0,1,12345
1,-2,1,2,7,-1,3,0,0,0,0,2,0,-1,0,0,1,12345
8,-2,1,2,7,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
14,-2,1,2,7,-1,3,0,0,0,0,5,0,-1,0,0,1,12345
2,-2,1,2,7,-1,3,0,0,0,0,5,1,-1,0,0,1,12345
1,-2,1,2,7,-1,3,0,0,0,0,13,0,-1,0,0,1,12345
13,-2,1,2,7,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,7,30,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,7,60,3,0,2,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,7,90,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,7,180,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,7,180,3,0,0,0,0,5,0,-1,0,0,1,12345
2,-2,1,2,7,365,3,0,0,0,0,3,0,-1,0,0,1,12345
2,-2,1,2,7,365,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,7,365,3,0,0,0,0,345,1,-1,0,0,1,12345
1,-2,1,2,7,365,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,7,547,3,0,0,0,0,3,0,-1,0,0,1,12345
2,-2,1,2,8,-1,3,0,0,0,0,5,0,-1,0,0,1,12345
4,-2,1,2,8,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,8,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,8,30,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,8,180,3,0,0,0,0,35,0,-1,0,0,1,12345
1,-2,1,2,8,180,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,8,365,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,8,365,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,8,730,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,9,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
9,-2,1,2,9,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,9,365,3,0,0,0,0,3,1,-1,0,0,1,12345
1,-2,1,2,9,547,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,10,365,1,0,0,1,0,5,0,55,0,0,1,12345
1,-2,1,2,11,-1,1,0,0,0,0,23,0,18,0,0,1,12345
1,-2,1,2,11,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,11,-1,3,0,0,0,0,135,0,-1,0,0,1,12345
4,-2,1,2,11,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,11,180,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,11,365,1,0,0,0,0,3,0,55,0,0,1,12345
1,-2,1,2,11,365,1,0,0,0,0,5,0,25,0,0,1,12345
1,-2,1,2,11,730,1,1,0,1,0,235,0,55,0,0,1,12345
1,-2,1,2,12,-1,1,0,0,1,1,98,0,25,0,0,1,12345
1,-2,1,2,12,-1,99,0,0,0,0,3,0,-1,1,0,1,12345
1,-2,1,2,12,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,12,-1,99,0,0,0,1,99,99,-1,1,0,1,12345
1,-2,1,2,12,547,1,0,0,0,0,3,1,25,0,0,1,12345
1,-2,1,2,13,-1,2,0,0,0,0,5,0,18,1,0,1,12345
6,-2,1,2,13,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
5,-2,1,2,13,-1,3,0,0,0,0,5,0,-1,0,0,1,12345
13,-2,1,2,13,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
2,-2,1,2,13,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,13,60,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,13,90,1,0,0,0,0,5,0,18,0,0,1,12345
1,-2,1,2,13,90,1,0,0,1,1,3,0,18,0,0,1,12345
1,-2,1,2,13,180,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,13,547,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,13,730,3,0,0,0,1,5,0,-1,0,0,1,12345
1,-2,1,2,14,-1,1,0,0,0,0,2,0,25,0,0,1,12345
1,-2,1,2,14,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,14,180,1,0,0,0,0,35,0,18,0,0,1,12345
1,-2,1,2,99,-1,1,0,0,0,0,1,0,25,0,0,1,12345
3,-2,1,2,99,-1,1,0,0,0,0,3,0,25,0,0,1,12345
1,-2,1,2,99,-1,1,0,0,0,0,45,0,25,0,0,1,12345
1,-2,1,2,99,-1,1,0,0,0,0,98,0,25,0,0,1,12345
1,-2,1,2,99,-1,1,0,0,0,0,99,0,25,0,0,1,12345
1,-2,1,2,99,-1,1,0,0,0,0,135,0,25,0,0,1,12345
8,-2,1,2,99,-1,3,0,0,0,0,3,0,-1,0,0,1,12345
3,-2,1,2,99,-1,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,99,-1,3,0,0,0,0,35,0,-1,0,0,1,12345
1,-2,1,2,99,-1,3,0,0,0,0,98,0,-1,0,0,1,12345
15,-2,1,2,99,-1,99,0,0,0,0,99,99,-1,0,0,1,12345
4,-2,1,2,99,-1,99,0,0,0,0,99,99,-1,1,0,1,12345
1,-2,1,2,99,30,1,0,0,1,0,135,0,24,0,0,1,12345
1,-2,1,2,99,60,3,0,0,0,0,3,0,-1,0,0,1,12345
2,-2,1,2,99,60,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,2,99,365,3,0,0,0,0,3,0,-1,0,0,1,12345
1,-2,1,2,99,365,3,0,0,0,0,5,0,-1,0,0,1,12345
1,-2,1,2,99,547,99,0,0,0,0,99,99,-1,0,0,1,12345
1,-2,1,3,4,-1,1,0,0,0,0,3,1,25,0,0,2,12345
1,-2,1,3,4,-1,1,0,0,0,0,35,0,25,0,0,2,12345
1,-2,1,3,4,-1,1,0,0,1,0,235,0,25,0,0,2,12345
1,-2,1,3,4,-1,1,1,0,0,0,1,0,25,0,0,2,12345
1,-2,1,3,4,-1,1,1,0,0,0,25,0,25,0,0,2,12345
1,-2,1,3,4,60,1,1,0,1,0,2,0,55,0,0,2,12345
1,-2,1,3,4,90,1,1,0,0,1,2,99,25,0,0,2,12345
1,-2,1,3,4,365,1,1,0,0,0,5,0,25,0,0,2,12345
1,-2,1,3,5,-1,1,0,0,1,0,35,0,55,0,0,2,12345
1,-2,1,3,5,30,1,1,0,0,0,3,0,25,0,0,2,12345
1,-2,1,3,5,90,1,1,0,1,0,3,1,55,0,0,2,12345
1,-2,1,3,8,365,1,1,0,1,0,3,0,55,0,0,2,12345
1,-2,1,3,9,-1,1,0,0,0,0,5,0,25,0,0,2,12345
