HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
GR-1362,1362,1,2017-03-22,,2023-08-24 01:02:03,2023-08-24 01:02:03,27,,1036
GR-93,93,1,2002-10-26,,2023-08-24 01:02:03,2023-08-24 01:02:03,15,,1036
GR-1409,1409,1,2018-01-01,,2023-08-24 01:02:03,2023-08-24 01:02:03,23,,1036
GR-780,780,1,2008-09-16,,2023-08-24 01:02:03,2023-08-24 01:02:03,27,,1036
GR-1428,1428,1,2018-01-01,,2023-08-24 01:02:03,2023-08-24 01:02:03,27,,1036
GR-1495,1495,1,2019-09-01,,2023-08-24 01:02:03,2023-08-24 01:02:03,23,,1036
GR-1060,1060,1,2013-02-08,,2023-08-24 01:02:03,2023-08-24 01:02:03,23,,1036
GR-1419,1419,1,2018-01-01,,2023-08-24 01:02:03,2023-08-24 01:02:03,15,,1036
GR-1615,1615,1,2020-11-09,,2023-08-24 01:02:03,2023-08-24 01:02:03,18,,1036
GR-388,388,1,2002-05-02,,2023-08-24 01:02:03,2023-08-24 01:02:03,23,,1036
