"ProjectCoCID","ProjectID","CoCCode","Geocode","Address1","Address2","City","State","ZIP","GeographyType","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"972","1362","XX-501","199057","275 Main St",,"Burlington","IA","52601",3,2020-12-21 15:46:01,2021-05-18 08:52:25,"27",,"1036"
"51","93","XX-501","192466","862 Main St",,"Iowa City","IA","52240",1,2014-09-29 12:31:25,2018-06-01 11:26:07,"0",,"1036"
"741","1409","XX-501","199045","688 Main St",,"Clinton","IA","52732",3,2017-10-31 12:27:43,2020-02-03 13:23:42,"23",,"1036"
"241","780","XX-501","191254","712 Main St",,"Davenport","IA","52802",1,2014-09-29 14:43:39,2018-10-12 10:36:36,"23",,"1036"
"762","1428","XX-501","192466","295 Main St",,"Cedar Rapids","IA","52403",1,2018-02-13 11:16:11,2018-11-02 13:09:28,"18",,"1036"
"847","1495","XX-501","199033","957 Main St",,"Mason City","IA","50401",3,2019-07-01 10:38:35,2019-07-01 10:38:35,"23",,"1036"
"88","1060","XX-501","199187","256 Main St",,"Fort Dodge","IA","50501",3,2014-09-29 12:45:52,2018-10-12 11:37:04,"23",,"1036"
"753","1419","XX-501","191464","642 Main St",,"Dubuque","IA","52001",1,2018-01-04 16:22:50,2020-02-04 09:49:22,"15",,"1036"
"966","1615","XX-501","192466","563 Main St",,"Iowa City","IA","52240",1,2020-11-09 08:46:43,2020-11-09 08:46:43,"27",,"1036"
"211","388","XX-501","199045","114 Main St",,"Clinton","IA","52732",3,2014-09-29 14:20:36,2018-06-07 11:11:56,"23",,"1036"
