"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
Homeless Situations,0,0,0,0,0
Emergency shelter,7,6,1,0,0
Transitional housing for homeless persons,0,0,0,0,0
Place not meant for habitation,50,50,0,0,0
Safe Haven,0,0,0,0,0
Host Home,0,0,0,0,0
Homeless Subtotal,57,56,1,0,0
Institutional Settings,0,0,0,0,0
Psychiatric hospital or other psychiatric facility,1,1,0,0,0
Substance abuse treatment facility or detox center,0,0,0,0,0
Hospital or other residential non-psychiatric medical facility,5,5,0,0,0
"Jail, prison or juvenile detention facility",6,6,0,0,0
Foster care home or foster care group home,0,0,0,0,0
Long-term care facility or nursing home,0,0,0,0,0
Residential project or halfway house with no homeless criteria,1,1,0,0,0
Institution Subtotal,13,13,0,0,0
Other Locations,0,0,0,0,0
Permanent housing for formerly homeless persons,0,0,0,0,0
"Owned by client, no ongoing housing subsidy",0,0,0,0,0
"Owned by client, with ongoing housing subsidy",0,0,0,0,0
"Rental by client, with RRH or equivalent subsidy",0,0,0,0,0
"Rental by client, with HCV voucher",0,0,0,0,0
Rental by client in a public housing unit,0,0,0,0,0
"Rental by client, no ongoing housing subsidy",6,6,0,0,0
"Rental by client, with VASH housing subsidy",0,0,0,0,0
"Rental by client, with GPD TIP housing subsidy",0,0,0,0,0
"Rental by client, with other ongoing housing subsidy",1,1,0,0,0
Hotel or motel paid for without emergency shelter voucher,5,4,0,1,0
"Staying or living in a friend’s room, apartment or house",23,21,1,1,0
"Staying or living in a family member’s room, apartment or house",10,9,0,1,0
Client Doesn't Know/Refused,2,1,0,1,0
Data not collected,1,0,1,0,0
Other Subtotal,48,42,2,4,0
Total,118,111,3,4,0
