"",Count of Clients for DQ,Count of Clients
Total number of persons served,123,123
Number of adults age 18 or over,114,114
Number of children under age 18,9,9
Number of persons with unknown age,0,0
Number of leavers,113,113
Number of adult leavers,104,104
Number of adult and head of household leavers,108,108
Number of stayers,10,10
Number of adult stayers,10,10
Number of veterans,4,4
Number of chronically homeless persons,18,18
Number of youth under age 25,12,12
Number of parenting youth under age 25 with children,1,1
Number of adult heads of household,112,112
Number of child and unknown age heads of household,4,4
Heads of households and adult stayers in the project 365 days or more,0,0
