"",At Start,At Annual Assessment for Stayers,At Exit for Leavers
MEDICAID,78,0,73
MEDICARE,14,0,12
State Children’s Health Insurance Program,0,0,2
Veteran’s Administration (VA) Medical Services,1,0,1
Employer – Provided Health Insurance,2,0,2
Health Insurance obtained through COBRA,0,0,0
Private Pay Health Insurance,0,0,0
State Health Insurance for Adults,7,0,5
Indian Health Services Program,0,0,0
Other,1,0,1
No health insurance,28,0,25
Client Doesn't Know/Refused,0,0,0
Data Not Collected,3,0,2
Annual assessment not required,0,10,0
One source of insurance,81,0,76
More than one source of insurance,11,0,10
