"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Under 5","2","0","2","0","0"
"b. 5 - 12","5","0","4","1","0"
"c. 13 - 17","2","0","0","2","0"
"d. 18 - 24","4","3","1","0","0"
"e. 25 - 34","5","0","5","0","0"
"f. 35 - 44","12","10","2","0","0"
"g. 45 - 54","3","3","0","0","0"
"h. 55 - 61","2","2","0","0","0"
"i. 62+","2","2","0","0","0"
"j. Client Doesn't Know/Client Refused","2","0","1","0","1"
"k. Data Not Collected","1","0","0","0","1"
"l. Total","40","20","15","3","2"
