"ProjectCoCID","ProjectID","COCCode","Geocode","Address1","Address2","City","State","ZIP","GeographyType","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"47736820","441","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-08-30 00:00:00,2021-08-30 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736830","1009","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736840","942","XX-500","391062","123 Main St.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736850","958","XX-500","391062","2134 Alpine Pl.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736860","960","XX-500","391062","2134 Alpine Pl.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736870","882","XX-500","391062","123 Main St.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736890","240","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736900","807","XX-500","391062","1234 Main Street","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736910","1012","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736930","1496","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736940","1494","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736950","1495","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736980","959","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47736990","790","XX-500","391062","4440 Adams Avenue","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737000","789","XX-500","391062","4440 Adams Avenue","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737010","791","XX-500","391062","1511 Lowland Avenue","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737020","792","XX-500","391062","302 W McMillion St","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737030","808","XX-500","391062","365 Apple Road","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737040","1493","XX-500","391062","123 Anywhere Ave.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"47737050","957","XX-500","391062","2134 Alpine Pl.","","Anytown","OH","12345",2,2021-09-02 00:00:00,2021-09-02 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
