"ProjectID","OrganizationID","ProjectName","ProjectCommonName","OperatingStartDate","OperatingEndDate","ContinuumProject","ProjectType","HousingType","ResidentialAffiliation","TrackingMethod","HMISParticipatingProject","TargetPopulation","HOPWAMedAssistedLivingFac","PITCount","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"1011","7007","DataLab - VA HUD VASH","DataLab - VA HUD VASH ",2015-01-01,,1,3,3,,,1,4,2,0,2021-09-20 00:00:00,2021-09-20 00:00:00,"891",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1099","7007","DataLab - VA GPD TH","DataLab - VA GPD TH ",2015-01-01,,1,2,1,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1101","7007","DataLab - VA GPD Transition in place PH-Housing On","DataLab - VA GPD Transition in place PH-Housing On",2015-01-01,,1,9,3,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1102","7007","DataLab - VA HCHV Low demand safe haven","DataLab - VA HCHV Low demand safe haven ",2015-01-01,,1,8,1,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1103","7007","DataLab - VA HCHV CRS: EH","DataLab - VA HCHV CRS: EH ",2015-01-01,,1,1,1,,0,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1492","7007","DataLab - Transitional Housing YHDP","DataLab - Transitional Housing YHDP ",2018-01-01,,1,2,2,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1495","7007","DataLab - HOPWA TH","DataLab - HOPWA TH ",2010-01-01,,1,2,2,,,1,3,0,0,2021-09-20 00:00:00,2021-09-20 00:00:00,"891",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"1497","7007","DataLab - HOPWA PH","DataLab - HOPWA PH ",2010-01-01,,1,3,3,,,1,3,0,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"240","7007","DataLab - Emergency Shelter with CE","DataLab - Emergency Shelter with CE ",2010-01-01,,1,1,1,,0,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"242","7007","DataLab - Transitional Housing","DataLab - Transitional Housing ",2010-01-01,,1,2,1,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"441","7007","DataLab - Permanent Supportive Housing","DataLab - Permanent Supportive Housing ",2010-01-01,,1,3,3,,,1,4,2,0,2021-08-30 00:00:00,2021-08-30 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"527","7007","DataLab - VA SSVF (RRH)","DataLab - VA SSVF (RRH) ",2012-01-01,,1,13,3,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"790","7007","DataLab - RHY Basic Center Program (Emergency Shel","DataLab - RHY Basic Center Program (Emergency Shel",1997-05-18,,1,1,1,,0,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"792","7007","DataLab - RHY Transitional Housing","DataLab - RHY Transitional Housing ",2010-01-01,,1,2,3,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"808","7007","DataLab - RRH","DataLab - RRH ",2017-01-01,,1,13,3,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"882","7007","DataLab - Emergency Shelter NBN","DataLab - Emergency Shelter NBN ",2012-10-01,,1,1,2,,3,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"957","7007","DataLab - RRH 2","DataLab - RRH 2 ",2010-01-01,,1,13,1,,,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"958","7007","DataLab - Emergency Shelter 2","DataLab - Emergency Shelter 2 ",2010-01-01,,1,1,1,,0,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"960","7007","DataLab - Emergency Shelter 3","DataLab - Emergency Shelter 3 ",2010-01-01,,1,1,1,,0,1,4,2,0,2021-09-02 00:00:00,2021-09-02 00:00:00,"8",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
