"Source","At start","At latest annual assessment for stayers","At exit for leavers"
"a. MEDICAID",24,16,3
"b. MEDICARE",6,7,0
"c. State Children's Health Insurance",1,0,1
"d. Veteran's Administration (VA) Medical Services",1,1,0
"e. Employer-provided health insurance",0,0,0
"f. Health insurance obtained through COBRA",0,0,0
"g. Private pay health insurance",0,0,0
"h. State Health Insurance for Adults",5,3,1
"i. Indian Health Services Program",0,0,0
"j. Other",0,0,0
"k. No health insurance",0,0,0
"l. Client doesn't know/Client refused",0,0,0
"m. Data not collected",0,0,0
"n. Number of adult stayers not yet required to have an annual assessment",,5,
"o. 1 source of health insurance",23,17,1
"p. More than 1 source of health insurance",7,5,2
