"",Count of Clients for DQ,Count of Clients
Total number of persons served,12,12
Number of adults age 18 or over,12,12
Number of children under age 18,0,0
Number of persons with unknown age,0,0
Number of leavers,2,2
Number of adult leavers,2,2
Number of adult and head of household leavers,2,2
Number of stayers,10,10
Number of adult stayers,10,10
Number of veterans,1,1
Number of chronically homeless persons,1,1
Number of youth under age 25,0,0
Number of parenting youth under age 25 with children,0,0
Number of adult heads of household,10,10
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,0,0
