"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. 0 - 17","0","0","0","0","0"
"b. 18 - 24","0","0","0","0","0"
"c. 25 - 34","2","2","0","0","0"
"d. 35 - 44","7","7","0","0","0"
"e. 45 - 54","10","10","0","0","0"
"f. 55 - 61","9","9","0","0","0"
"g. 62+","2","2","0","0","0"
"h. Client Doesn't Know/Client Refused","0","0","0","0","0"
"i. Data Not Collected","0","0","0","0","0"
"j. Total","30","30","0","0","0"
