"OrganizationID","OrganizationName","VictimServiceProvider","OrganizationCommonName","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"1361","The Humanitarian Services",0,"Humanitarian",2017-03-22 10:57:00,2022-08-15 12:16:00,"27",,1036
"93","The People Planet",0,"People",2016-12-29 10:20:00,2021-12-09 17:51:00,"27",,1036
"1329","Dream Place",0,"Dream",2020-10-19 15:51:00,2020-10-21 11:22:00,"23",,1036
"773","The Care Services",0,"Care",2016-09-29 08:44:00,2020-09-10 06:49:00,"25",,1036
"6","The United Planet",0,"Planet",2018-02-13 11:14:00,2018-10-12 10:11:00,"23",,1036
"75","Building Better",0,"Building",2019-07-01 10:38:00,2019-08-22 14:49:00,"23",,1036
"1060","The Hope Community",0,"Hope",2013-02-08 09:57:00,2018-10-12 11:37:00,"23",,1036
"119","The United Place",0,"Place",2022-08-16 13:41:00,2022-09-26 13:04:00,"18",,1036
"450","The Future Planet",0,"Future",2003-08-03 10:05:00,2019-01-09 12:31:00,"18",,1036
"106","The United Foundation",0,"United",2002-05-02 15:24:00,2018-10-12 11:16:00,"23",,1036
