EnrollmentID,PersonalID,SexualOrientation,SexualOrientationOther,TranslationNeeded,PreferredLanguage,PreferredLanguageDifferent,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
820905,655104,1,,1,179,,2021-08-05 10:31:54,2022-05-24 12:02:41,26,,1036
849079,573738,1,,1,140,,2022-05-03 11:30:51,2022-06-14 13:20:57,26,,1036
845249,674682,3,,0,,,2022-03-28 12:29:08,2022-09-12 12:01:15,26,,1036
863792,674682,3,,8,,,2022-09-23 12:16:51,2022-09-23 12:16:51,26,,1036
809131,681240,5,,9,,,2021-04-13 11:44:13,2021-10-05 09:40:34,26,,1036
812220,682485,2,,99,,,2021-05-12 17:29:56,2022-09-09 09:25:57,27,,1036
813509,682731,4,,,,,2021-05-25 14:27:39,2022-09-09 12:41:01,27,,1036
818445,685496,6,,,,,2021-07-13 13:30:08,2022-01-19 10:05:31,29,,1036
818455,685506,1,,1,380,,2021-07-13 14:29:27,2022-09-09 12:17:07,27,,1036
824840,688885,1,,1,,British English,2021-09-15 14:17:43,2022-01-05 09:57:37,26,,1036
826534,689253,4,,,,,2021-10-01 11:59:29,2021-10-01 11:59:29,29,,1036
827944,689606,1,,1,380,,2021-10-15 13:19:37,2022-09-12 12:22:14,26,,1036
826989,690101,1,,1,140,,2021-10-06 09:16:55,2022-09-12 12:45:40,26,,1036
827038,690113,1,,1,179,,2021-10-06 11:36:07,2022-09-09 10:53:05,26,,1036
827061,690120,1,,1,385,,2021-10-06 12:42:31,2022-09-09 12:32:12,27,,1036
827341,690239,3,,,,,2021-10-08 11:42:47,2022-01-25 13:28:38,29,,1036
845062,690365,1,,1,179,,2022-03-25 11:16:11,2022-04-22 11:30:48,29,,1036
836190,691717,1,,1,140,,2022-01-07 13:40:02,2022-01-25 13:36:58,29,,1036
831519,692469,4,,,,,2021-11-22 14:05:08,2022-09-09 12:48:29,27,,1036
831532,692474,4,,,,,2021-11-22 15:08:11,2022-09-09 09:55:57,29,,1036
832204,692852,4,,,,,2021-12-01 12:43:58,2022-01-25 11:00:08,29,,1036
832937,693157,6,,,,,2021-12-07 14:39:56,2022-01-25 11:31:35,29,,1036
837517,693265,4,,,,,2022-01-19 08:35:10,2022-09-21 11:55:52,29,,1036
837518,693652,1,,1,140,,2022-01-19 08:36:47,2022-05-11 13:21:38,29,,1036
838517,695510,1,,1,179,,2022-01-26 14:11:24,2022-09-09 09:48:35,29,,1036
844267,697805,6,,,,,2022-03-18 12:45:00,2022-03-18 12:45:00,26,,1036
849532,700280,1,,1,179,,2022-05-06 13:40:51,2022-06-10 11:37:13,30,,1036
849622,700337,1,,1,140,,2022-05-09 10:18:47,2022-07-26 13:51:44,30,,1036
850006,700558,4,,,,,2022-05-12 11:13:09,2022-06-22 09:42:10,30,,1036
862105,700558,4,,,,,2022-09-07 17:16:20,2022-09-07 17:16:20,30,,1036
851251,701183,4,,,,,2022-05-25 16:20:01,2022-06-21 16:01:49,30,,1036
854595,702903,4,,,,,2022-06-27 14:41:57,2022-09-21 09:09:44,29,,1036
857758,704868,1,,1,188,,2022-07-28 10:24:01,2022-09-09 10:10:45,30,,1036
859413,705921,1,,1,197,,2022-08-12 15:12:37,2022-08-12 15:12:37,30,,1036
860241,706394,1,,1,197,,2022-08-22 10:26:37,2022-08-22 10:26:37,29,,1036
862303,706439,1,,1,181,,2022-09-09 09:07:13,2022-09-23 10:53:11,29,,1036
861032,706823,2,,,,,2022-08-26 16:26:30,2022-08-26 16:26:30,26,,1036
