PersonalID,Woman,Man,NonBinary,CulturallySpecific,Transgender,Questioning,DifferentIdentity,GenderNone,DifferentIdentityText,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
528656,0,1,0,0,0,0,0,,,2015-01-06 10:19:36,2015-09-30 17:18:23,28,,1036
594380,0,0,1,0,0,0,0,,,2016-11-21 13:54:46,2016-11-21 13:54:46,27,,1036
595460,1,0,0,0,0,0,0,,,2016-12-10 13:49:32,2016-12-10 13:49:32,16,,1036
599921,1,0,0,0,0,0,0,,,2017-03-03 11:03:43,2017-06-21 17:04:07,25,,1036
602304,0,1,0,0,0,0,0,,,2017-04-17 15:07:32,2017-04-17 15:07:32,25,,1036
620743,0,1,0,0,0,0,0,,,2018-03-14 09:34:11,2018-03-14 09:34:11,28,,1036
622187,1,0,0,0,0,0,0,,,2018-04-16 11:14:02,2018-04-16 11:14:02,27,,1036
628244,0,1,0,0,0,0,0,,,2018-08-01 20:33:48,2018-08-16 12:49:50,30,,1036
631690,0,1,0,0,0,0,0,,,2018-10-03 00:36:56,2018-10-03 16:12:23,27,,1036
649183,0,1,0,0,0,0,0,,,2019-08-27 12:41:42,2019-08-27 12:41:42,27,,1036
649475,0,1,0,0,0,0,0,,,2019-09-01 15:12:58,2019-09-01 15:25:39,23,,1036
652104,0,1,0,0,0,0,0,,,2019-10-22 10:20:55,2022-01-26 16:35:39,27,,1036
652404,0,1,0,0,0,0,0,,,2019-10-28 11:13:22,2019-10-28 11:13:22,27,,1036
656161,0,1,0,0,0,0,0,,,2020-01-13 12:09:06,2020-01-13 12:30:15,28,,1036
657977,1,0,0,0,0,0,0,,,2020-02-18 11:10:22,2020-02-18 11:10:22,30,,1036
663494,0,1,0,0,0,0,0,,,2020-07-02 11:18:30,2020-07-02 11:18:30,60,,1036
671594,1,0,0,0,0,0,0,,,2020-11-30 09:02:50,2020-11-30 09:02:50,28,,1036
674923,0,1,0,0,0,0,0,,,2021-01-14 10:49:34,2021-05-10 13:17:16,27,,1036
676251,1,0,0,0,0,0,0,,,2021-01-27 13:17:41,2021-01-27 13:17:41,27,,1036
677848,1,0,0,0,0,0,0,,,2021-02-15 08:36:52,2021-04-22 14:45:42,28,,1036
678521,0,1,0,0,0,0,0,,,2021-02-23 13:07:12,2022-06-24 10:02:16,28,,1036
681195,0,1,0,0,0,0,0,,,2021-04-12 12:27:45,2021-04-12 12:28:53,27,,1036
683544,0,1,0,0,0,0,0,,,2021-06-04 13:40:31,2021-06-07 14:59:39,28,,1036
683819,0,1,0,0,0,0,0,,,2021-06-10 10:58:22,2021-06-10 10:58:22,28,,1036
683911,0,1,0,0,0,0,0,,,2021-06-14 08:07:51,2021-06-14 08:07:51,27,,1036
683921,1,0,0,0,0,0,0,,,2021-06-14 08:51:17,2021-06-14 08:51:17,28,,1036
684702,0,1,0,0,0,0,0,,,2021-06-28 13:18:32,2021-06-28 13:18:32,28,,1036
685174,0,1,0,0,0,0,0,,,2021-07-07 13:11:23,2021-07-07 13:11:23,28,,1036
685674,1,0,0,0,0,0,0,,,2021-07-16 11:55:06,2021-07-16 11:56:49,28,,1036
685749,0,1,0,0,0,0,0,,,2021-07-19 09:46:11,2022-06-24 10:04:02,30,,1036
685846,0,1,0,0,0,0,0,,,2021-07-20 12:25:03,2021-07-20 12:25:03,28,,1036
686916,0,1,0,0,0,0,0,,,2021-08-10 12:23:50,2021-08-10 12:23:50,28,,1036
687407,1,0,0,0,0,0,0,,,2021-08-20 11:40:17,2022-07-15 14:19:42,28,,1036
688600,0,1,0,0,0,0,0,,,2021-09-11 10:09:21,2022-05-26 09:48:37,30,,1036
694520,0,1,0,0,0,0,0,,,2022-01-07 08:53:00,2022-01-07 08:53:00,27,,1036
694531,0,1,0,0,0,0,0,,,2022-01-07 09:55:03,2022-01-07 09:55:03,27,,1036
694981,1,0,0,0,0,0,0,,,2022-01-16 12:24:24,2022-01-16 12:24:24,27,,1036
694982,0,1,0,0,0,0,0,,,2022-01-16 12:29:41,2022-01-16 12:29:41,27,,1036
694988,0,1,0,0,0,0,0,,,2022-01-16 14:07:20,2022-01-16 14:07:38,27,,1036
694989,1,0,0,0,0,0,0,,,2022-01-16 14:14:54,2022-01-24 17:54:50,27,,1036
695382,0,1,0,0,0,0,0,,,2022-01-24 17:29:41,2022-01-24 17:29:41,27,,1036
695384,1,0,0,0,0,0,0,,,2022-01-24 17:59:33,2022-02-08 14:38:48,27,,1036
695557,1,0,0,0,0,0,0,,,2022-01-27 08:21:08,2022-01-27 08:21:08,24,,1036
695574,0,1,0,0,0,0,0,,,2022-01-27 11:31:46,2022-01-27 11:31:46,27,,1036
695756,1,0,0,0,0,0,0,,,2022-01-31 19:12:39,2022-01-31 19:12:39,27,,1036
695757,0,1,0,0,0,0,0,,,2022-01-31 19:23:49,2022-01-31 19:23:49,27,,1036
695870,0,1,0,0,0,0,0,,,2022-02-02 14:22:45,2022-02-02 14:22:45,30,,1036
695875,0,1,0,0,0,0,0,,,2022-02-02 15:37:44,2022-02-02 15:37:44,27,,1036
695948,1,0,0,0,0,0,0,,,2022-02-03 15:48:03,2022-02-03 15:48:03,30,,1036
695951,1,0,0,0,0,0,0,,,2022-02-03 16:06:53,2022-02-03 16:19:24,27,,1036
696110,0,1,0,0,0,0,0,,,2022-02-08 09:33:40,2022-02-08 09:33:40,27,,1036
696141,0,1,0,0,0,0,0,,,2022-02-08 14:40:34,2022-07-10 07:59:37,27,,1036
696142,0,1,0,0,0,0,0,,,2022-02-08 14:41:03,2022-07-10 08:00:27,27,,1036
696143,0,1,0,0,0,0,0,,,2022-02-08 14:41:29,2022-02-14 09:30:04,27,,1036
696147,1,0,0,0,0,0,0,,,2022-02-08 15:13:40,2022-07-10 08:03:20,27,,1036
696151,1,0,0,0,0,0,0,,,2022-02-08 16:36:07,2022-02-08 16:36:07,30,,1036
696384,1,0,0,0,0,0,0,,,2022-02-14 09:33:39,2022-02-14 09:33:39,27,,1036
696385,0,1,0,0,0,0,0,,,2022-02-14 09:42:52,2022-02-14 09:42:52,27,,1036
696593,1,0,0,0,0,0,0,,,2022-02-18 09:34:31,2022-02-18 09:34:31,27,,1036
696697,0,1,0,0,0,0,0,,,2022-02-22 09:44:29,2022-02-22 09:44:29,27,,1036
696708,0,1,0,0,0,0,0,,,2022-02-22 10:45:25,2022-02-22 10:45:25,27,,1036
696711,0,1,0,0,0,0,0,,,2022-02-22 11:29:58,2022-02-22 11:29:58,30,,1036
696763,0,1,0,0,0,0,0,,,2022-02-23 10:10:18,2022-02-23 10:17:19,30,,1036
696920,1,0,0,0,0,0,0,,,2022-02-26 12:32:11,2022-02-26 12:32:11,16,,1036
696926,1,0,0,0,0,0,0,,,2022-02-27 08:04:59,2022-07-10 08:01:41,27,,1036
696927,0,1,0,0,0,0,0,,,2022-02-27 08:05:25,2022-07-10 07:58:39,27,,1036
697091,1,0,0,0,0,0,0,,,2022-03-02 13:38:09,2022-03-02 13:38:09,27,,1036
697341,0,1,0,0,0,0,0,,,2022-03-08 11:51:22,2022-03-08 11:51:22,27,,1036
697513,1,0,0,0,0,0,0,,,2022-03-11 09:20:55,2022-03-11 09:20:55,27,,1036
697554,0,1,0,0,0,0,0,,,2022-03-13 10:14:38,2022-03-13 10:14:38,29,,1036
697568,1,0,0,0,0,0,0,,,2022-03-14 09:42:34,2022-03-14 09:42:34,28,,1036
697598,1,0,0,0,0,0,0,,,2022-03-14 13:58:23,2022-03-14 14:06:43,27,,1036
697753,0,1,0,0,0,0,0,,,2022-03-17 12:45:15,2022-03-17 12:45:15,27,,1036
697765,0,1,0,0,0,0,0,,,2022-03-17 13:31:59,2022-07-10 08:02:46,27,,1036
697857,1,0,0,0,0,0,0,,,2022-03-21 09:23:23,2022-03-21 09:23:23,27,,1036
698097,0,1,0,0,0,0,0,,,2022-03-24 13:53:52,2022-03-24 13:53:52,27,,1036
698098,1,0,0,0,0,0,0,,,2022-03-24 13:57:52,2022-03-24 13:57:52,27,,1036
698300,1,0,0,0,0,0,0,,,2022-03-29 14:47:47,2022-03-29 14:47:47,27,,1036
698310,1,0,0,0,0,0,0,,,2022-03-29 15:21:00,2022-03-29 15:21:00,27,,1036
698368,0,1,0,0,0,0,0,,,2022-03-30 10:44:33,2022-03-30 10:44:33,27,,1036
698521,0,1,0,0,0,0,0,,,2022-04-01 13:25:55,2022-04-01 13:25:55,30,,1036
698837,1,0,0,0,0,0,0,,,2022-04-07 14:19:36,2022-04-07 14:19:36,27,,1036
698838,0,1,0,0,0,0,0,,,2022-04-07 14:39:44,2022-04-07 14:39:44,27,,1036
699042,0,1,0,0,0,0,0,,,2022-04-12 10:38:03,2022-04-12 10:38:03,27,,1036
699907,1,0,0,0,0,0,0,,,2022-04-29 10:24:44,2022-04-29 10:24:44,27,,1036
699912,0,1,0,0,0,0,0,,,2022-04-29 11:17:15,2022-04-29 11:17:15,30,,1036
699915,0,1,0,0,0,0,0,,,2022-04-29 11:27:16,2022-04-29 11:27:16,27,,1036
699923,0,1,0,0,0,0,0,,,2022-04-29 13:52:47,2022-04-29 13:52:47,27,,1036
699996,1,0,0,0,0,0,0,,,2022-05-02 12:58:32,2022-05-02 12:58:32,27,,1036
700003,0,1,0,0,0,0,0,,,2022-05-02 13:22:27,2022-05-02 13:22:27,27,,1036
700356,0,1,0,0,0,0,0,,,2022-05-09 13:07:24,2022-05-09 13:07:24,27,,1036
700361,1,0,0,0,0,0,0,,,2022-05-09 13:48:52,2022-05-09 13:48:52,30,,1036
700637,0,1,0,0,0,0,0,,,2022-05-13 13:02:48,2022-05-13 13:02:48,30,,1036
700676,0,1,0,0,0,0,0,,,2022-05-16 09:14:36,2022-05-16 09:14:36,27,,1036
700683,0,1,0,0,0,0,0,,,2022-05-16 09:34:28,2022-05-16 09:34:28,30,,1036
700706,0,1,0,0,0,0,0,,,2022-05-16 12:54:28,2022-05-16 12:54:28,27,,1036
700717,0,1,0,0,0,0,0,,,2022-05-16 13:13:20,2022-05-16 13:13:20,30,,1036
701021,0,1,0,0,0,0,0,,,2022-05-23 10:38:36,2022-05-23 10:38:36,27,,1036
701085,0,1,0,0,0,0,0,,,2022-05-24 08:24:50,2022-05-24 08:24:50,27,,1036
701114,0,1,0,0,0,0,0,,,2022-05-24 12:59:35,2022-05-24 12:59:35,27,,1036
701268,0,1,0,0,0,0,0,,,2022-05-27 08:46:29,2022-05-27 08:46:29,30,,1036
701269,1,0,0,0,0,0,0,,,2022-05-27 08:51:03,2022-05-27 08:51:03,30,,1036
702280,0,1,0,0,0,0,0,,,2022-06-15 17:39:39,2022-07-15 14:56:11,27,,1036
702287,0,1,0,0,0,0,0,,,2022-06-15 21:55:05,2022-06-15 21:55:05,30,,1036
702294,0,1,0,0,0,0,0,,,2022-06-16 06:44:21,2022-06-16 06:44:21,30,,1036
702298,1,0,0,0,0,0,0,,,2022-06-16 08:54:57,2022-06-16 08:54:57,30,,1036
702333,0,1,0,0,0,0,0,,,2022-06-16 12:44:44,2022-06-16 12:44:44,27,,1036
702349,0,1,0,0,0,0,0,,,2022-06-16 15:07:39,2022-06-16 15:07:39,30,,1036
702645,0,1,0,0,0,0,0,,,2022-06-22 09:44:46,2022-06-22 09:44:46,27,,1036
702663,1,0,0,0,0,0,0,,,2022-06-22 11:04:28,2022-06-22 11:04:28,30,,1036
702858,0,1,0,0,0,0,0,,,2022-06-24 18:01:52,2022-06-24 18:01:52,27,,1036
703370,1,0,0,0,0,0,0,,,2022-07-04 17:52:30,2022-07-04 18:49:00,30,,1036
703941,0,1,0,0,0,0,0,,,2022-07-13 08:56:09,2022-07-13 08:56:09,27,,1036
704126,0,1,0,0,0,0,0,,,2022-07-15 10:47:29,2022-07-15 10:47:29,27,,1036
704173,0,1,0,0,0,0,0,,,2022-07-15 15:46:43,2022-07-15 15:46:43,27,,1036
704730,1,0,0,0,0,0,0,,,2022-07-26 12:34:35,2022-07-26 12:37:20,27,,1036
704739,0,1,0,0,0,0,0,,,2022-07-26 13:36:45,2022-07-26 13:36:45,27,,1036
704863,1,0,0,0,0,0,0,,,2022-07-28 09:24:06,2022-07-28 09:24:06,27,,1036
704931,0,1,0,0,0,0,0,,,2022-07-28 14:49:48,2022-07-28 14:49:48,27,,1036
705364,0,1,0,0,0,0,0,,,2022-08-04 13:42:48,2022-08-04 13:42:48,27,,1036
705367,1,0,0,0,0,0,0,,,2022-08-04 14:14:32,2022-08-04 14:14:32,27,,1036
705786,0,1,0,0,0,0,0,,,2022-08-10 17:54:34,2022-08-10 17:54:34,27,,1036
705787,0,1,0,0,0,0,0,,,2022-08-10 18:11:56,2022-08-10 18:11:56,27,,1036
92070,0,1,0,0,0,0,0,,,2005-05-16 18:17:39,2021-08-30 10:19:54,23,,1036
104039,1,0,0,0,0,0,0,,,2005-09-19 15:36:46,2022-06-09 13:15:48,27,,1036
124983,0,1,0,0,0,0,0,,,2006-06-21 20:41:20,2018-03-04 03:56:34,30,,1036
150484,1,0,0,0,0,0,0,,,2007-07-25 18:18:55,2022-01-20 13:22:20,27,,1036
278774,1,0,0,0,0,0,0,,,2011-02-03 19:03:12,2021-09-14 09:23:41,27,,1036
401346,1,0,0,0,0,0,0,,,2013-09-03 10:15:34,2018-11-28 08:53:36,25,,1036
404877,0,1,0,0,0,0,0,,,2013-09-28 23:20:38,2015-10-06 12:18:26,21,,1036
405886,0,1,0,0,0,0,0,,,2013-10-04 14:53:11,2021-07-29 08:03:05,23,,1036
408180,1,0,0,0,1,0,0,,,2013-10-23 11:42:24,2020-12-16 09:08:41,27,,1036
425595,0,1,0,0,0,0,0,,,2014-03-31 13:45:38,2019-02-18 20:46:40,23,,1036
500838,1,0,0,0,0,0,0,,,2014-04-27 19:46:49,2018-12-18 17:39:19,18,,1036
533217,0,1,0,0,0,0,0,,,2015-02-20 15:32:42,2017-06-28 14:37:10,30,,1036
533218,1,0,0,0,0,0,0,,,2015-02-20 15:34:04,2018-09-13 09:56:24,16,,1036
533219,1,0,0,0,0,0,0,,,2015-02-20 15:34:45,2016-11-22 14:23:19,16,,1036
533242,0,1,0,0,0,0,0,,,2015-02-22 20:09:58,2020-08-07 11:11:00,27,,1036
