" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. 7 days or less","0","0","0","0","0"
"b. 8-14 days","0","0","0","0","0"
"c. 15-21 days","0","0","0","0","0"
"d. 22 to 30 days","0","0","0","0","0"
"e. 31 to 60 days","0","0","0","0","0"
"f. 61 to 180 days","0","0","0","0","0"
"g. 181 to 365 days","0","0","0","0","0"
"h. 366 to 730 days (1 - 2 yrs.)","0","0","0","0","0"
"i. Total (persons moved into housing)","0","0","0","0","0"
"j. Average length of time to housing","","","","",""
"k. Persons who were exited without move-in","0","0","0","0","0"
"l. Total persons","0","0","0","0","0"
