"",disabling_condition_Without Children,no_disabling_condition_Without Children,all_Without Children,Without Children_percent,disabling_condition_With Children And Adults,no_disabling_condition_With Children And Adults,all_With Children And Adults,With Children And Adults_percent,disabling_condition_Unknown Household Type,no_disabling_condition_Unknown Household Type,all_Unknown Household Type,Unknown Household Type_percent
Earned,5,7,12,0.4166666666666667,0,0,0,0,0,0,0,0
SSI,1,0,1,1,0,0,0,0,0,0,0,0
SSDI,0,0,0,0,0,0,0,0,0,0,0,0
VADisabilityService,1,0,1,1,0,0,0,0,0,0,0,0
PrivateDisability,0,0,0,0,0,0,0,0,0,0,0,0
WorkersComp,0,0,0,0,0,0,0,0,0,0,0,0
TANF,0,0,0,0,0,0,0,0,0,0,0,0
SocSecRetirement,0,0,0,0,0,0,0,0,0,0,0,0
Pension,0,0,0,0,0,0,0,0,0,0,0,0
ChildSupport,0,0,0,0,0,0,0,0,0,0,0,0
Other Source,1,0,1,1,0,0,0,0,0,0,0,0
No Sources,9,2,11,0.8181818181818182,0,1,1,0,0,0,0,0
Unduplicated Total Adults,15,9,24,0,0,1,1,0,0,0,0,0
