"Category","Number of adults at start","Number of adults at annual assessment (stayers)","Number of adults at exit (leavers)"
"a. Adults with only earned income (i.e., employment income)",24,5,8
"b. Adults with only other income",10,0,7
"c. Adults with both earned and other income",3,1,0
"d. Adults with no income",6,0,2
"e. Adults with Client Doesn't Know/Client Refused income information",0,0,0
"f. Adults with missing income information",0,0,0
"g. Number of adult stayers not yet required to have an annual assessment",,20,
"h. Number of adult stayers without required annual assessment",,0,
"i. Total adults",43,26,17
"j. 1 or more source of income",37,6,15
"k. Adults with income information at start AND follow-up/exit",,6,17
