"",Count of Clients for DQ,Count of Clients
Total number of persons served,38,38
Number of adults age 18 or over,33,33
Number of children under age 18,5,5
Number of persons with unknown age,0,0
Number of leavers,28,28
Number of adult leavers,25,25
Number of adult and head of household leavers,27,27
Number of stayers,10,10
Number of adult stayers,8,8
Number of veterans,2,2
Number of chronically homeless persons,12,12
Number of youth under age 25,25,25
Number of parenting youth under age 25 with children,2,2
Number of adult heads of household,32,32
Number of child and unknown age heads of household,3,3
Heads of households and adult stayers in the project 365 days or more,0,0
