"",Count of Clients for DQ,Count of Clients
Total number of persons served,16,16
Number of adults age 18 or over,11,11
Number of children under age 18,5,5
Number of persons with unknown age,0,0
Number of leavers,0,0
Number of adult leavers,0,0
Number of adult and head of household leavers,0,0
Number of stayers,16,16
Number of adult stayers,11,11
Number of veterans,0,0
Number of chronically homeless persons,0,0
Number of youth under age 25,0,0
Number of parenting youth under age 25 with children,0,0
Number of adult heads of household,8,8
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,2,2
