" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Able to maintain the housing they had at project start--Without a subsidy","3","2","1","0","0"
"b. Able to maintain the housing they had at project start--With the subsidy they had at project start","8","3","4","1","0"
"c. Able to maintain the housing they had at project start--With an on-going subsidy acquired since project start","2","2","0","0","0"
"d. Able to maintain the housing they had at project start--Only with financial assistance other than a subsidy","0","0","0","0","0"
"e. Moved to new housing unit--With on-going subsidy","0","0","0","0","0"
"f. Moved to new housing unit--Without an on-going subsidy","1","1","0","0","0"
"g. Moved in with family/friends on a temporary basis","1","0","1","0","0"
"h. Moved in with family/friends on a permanent basis","4","0","3","1","0"
"i. Moved to a transitional or temporary housing facility or program","6","2","3","1","0"
"j. Client became homeless – moving to a shelter or other place unfit for human habitation","4","2","0","0","2"
"k. Client went to jail/prison","1","0","1","0","0"
"l. Client died","1","1","0","0","0"
"m. Client doesn't know/Client refused","2","2","0","0","0"
"n. Data not collected (no exit interview completed)","2","2","0","0","0"
"o. Total","35","17","13","3","2"
