InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
4975288,1560,XX-500,3,,3,7,0,0,0,0,0,0,7,,2021-01-25,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,05D1667E5DBBA5D880E441B1ADDC1CE1
4975254,1547,XX-500,1,1,25,25,0,0,0,0,0,0,25,1,2018-05-01,,2022-04-04 00:00:00,2022-04-04 00:00:00,889,,2ED73E4E8B8E1D5A7834DBBA2A619BB3
4975321,1552,XX-500,1,,28,28,0,0,0,0,0,28,0,,2018-07-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,54860C6B105AD3013F84D8F699F2FF6C
4975257,1544,XX-500,4,1,4,4,0,0,0,0,4,0,0,1,2016-10-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,CF026DA3166977E59FE9328DABC44644
4975263,1559,XX-500,1,,9,9,0,0,0,0,9,0,0,,2020-07-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,FC441CC92F51873B6BC3E171E8465759
4975260,1557,XX-500,1,,9,9,0,0,0,0,9,0,0,,2016-10-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,26EAD10C47A7B6F9D671B36EAD8D3678
4975305,1555,XX-500,1,,15,15,0,0,0,0,15,0,0,,2020-10-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,94467172001A453A6D3D09F2253DB490
4975315,1561,XX-500,1,,10,10,0,0,0,0,0,0,10,,1996-07-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,BDB0E4C7C5B7F99076B8AA1D421AE7E2
4975312,1558,XX-500,3,,8,19,0,0,0,0,0,0,19,,2011-07-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,5B900FF0991AFCCDBA60D4F12DD5F01D
4975318,1551,XX-500,1,,57,57,0,0,57,0,0,0,0,,2016-09-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,198F73A6CFE16A591A6613986232976F
4975291,1550,XX-500,1,,2,4,0,0,0,0,0,0,4,,2012-01-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,513654B23485CC332CEFCA92F86301C0
4975292,1550,XX-500,3,,2,5,0,0,0,0,0,0,5,,2012-01-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,513654B23485CC332CEFCA92F86301C0
4975266,1553,XX-500,1,,8,8,0,0,8,0,0,0,0,,2019-10-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,CB5C3AE021E549E4E5E5881E30243DE8
4975267,1553,XX-500,3,,1,2,0,0,2,0,0,0,0,,2019-10-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,CB5C3AE021E549E4E5E5881E30243DE8
4975308,1562,XX-500,1,,4,4,0,0,0,0,4,0,0,,2018-07-31,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,0CCAEB846E071183A50E538FB0647CF6
4975285,1548,XX-500,1,1,10,10,0,0,0,0,0,0,10,1,2020-06-22,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,B7579AB30B8A4DB64B1B1DEFD8771931
4975330,1546,XX-500,1,1,1,16,0,0,0,0,0,0,16,1,2020-10-01,,2022-04-12 00:00:00,2022-04-12 00:00:00,889,,6247BB7125FC46FF033E78892FF4FC12
4975295,1554,XX-500,1,,4,4,0,0,0,0,0,0,4,,2019-06-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,150C1BB9C86E92F8DB0EC80CA143BB64
4975270,1563,XX-500,1,,25,25,0,0,25,0,0,0,0,,2020-10-01,,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,F3F69EFAE5FE342AA97C557E0968E88B
4975324,1556,XX-500,3,,9,23,0,0,2,0,2,0,19,,2021-07-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,B548758310BF31D18CD7945276FDB7D5
4975325,1556,XX-500,1,,10,13,0,0,0,0,0,0,13,,2021-07-01,,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,B548758310BF31D18CD7945276FDB7D5
