"",Total Occurrences,Successful Referral,Unsuccessful Referral client rejected,Unsuccessful Referral provider rejected,Rehoused in safe alternative,Enrolled in aftercare
Crisis Needs Assessment,0,0,0,0,0,0
Housing Needs Assessment,8,0,0,0,0,0
Referral to Prevention Assistance project,1,0,0,0,0,0
Problem Solving/Diversion/Rapid Resolution intervention or service,0,0,0,0,0,0
Referral to scheduled Coordinated Entry Crisis Needs Assessment,0,0,0,0,0,0
Referral to scheduled Coordinated Entry Housing Needs Assessment,8,0,0,0,0,0
Post-placement/follow-up case management ,0,0,0,0,0,0
Street Outreach project or services ,0,0,0,0,0,0
Housing Navigation project or services ,0,0,0,0,0,0
Non-continuum services: Ineligible for continuum services ,0,0,0,0,0,0
Non continuum services: No availability in continuum services ,0,0,0,0,0,0
Emergency Shelter bed opening ,0,0,0,0,0,0
Transitional Housing bed/unit opening ,0,0,0,0,0,0
Joint TH-RRH project/unit/resource opening ,0,0,0,0,0,0
RRH project resource opening ,8,8,0,0,0,0
PSH project resource opening ,0,0,0,0,0,0
Other PH project ,0,0,0,0,0,0
Referral to emergency assistance/flex fund/furniture assistance ,0,0,0,0,0,0
Referral to Emergency Housing Voucher (EHV) ,0,0,0,0,0,0
Referral to a Housing Stability Voucher ,0,0,0,0,0,0
