"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Under 5","0","0","0","0","0"
"b. 5 - 12","0","0","0","0","0"
"c. 13 - 17","0","0","0","0","0"
"d. 18 - 24","3","3","0","0","0"
"e. 25 - 34","8","8","0","0","0"
"f. 35 - 44","18","18","0","0","0"
"g. 45 - 54","18","18","0","0","0"
"h. 55 - 61","6","6","0","0","0"
"i. 62+","4","4","0","0","0"
"j. Client Doesn't Know/Client Refused","6","0","0","0","6"
"k. Data Not Collected","8","0","0","0","8"
"l. Total","71","57","0","0","14"
