"Destination","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Permanent destinations","","","","",""
"a01. Moved from one HOPWA funded project to HOPWA PH","1","1","0","0","0"
"a02. Owned by client, no ongoing housing subsidy","1","1","0","0","0"
"a03. Owned by client, with ongoing subsidy","1","1","0","0","0"
"a04. Rental by client, no ongoing housing subsidy","1","0","1","0","0"
"a05. Rental by client, with VASH housing subsidy","1","1","0","0","0"
"a06. Rental by client, with GPD TIP housing subsidy","1","1","0","0","0"
"a07. Rental by client, with other ongoing housing subsidy","1","0","1","0","0"
"a08. Permanent housing (other than RRH) for formerly homeless persons","1","0","0","1","0"
"a09. Staying or living with family, permanent tenure","1","0","1","0","0"
"a10. Staying or living with friends, permanent tenure","1","0","1","0","0"
"a11. Rental by client, with RRH or equivalent subsidy","1","0","1","0","0"
"a12. Rental by client, with HCV voucher (tenant or project based)","1","0","1","0","0"
"a13. Rental by client in a public housing unit","1","0","1","0","0"
"az. Total","13","5","7","1","0"
"b. Temporary destinations","","","","",""
"b1. Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter","1","0","0","0","1"
"b2. Moved from one HOPWA funded project to HOPWA TH","1","1","0","0","0"
"b3. Transitional housing for homeless persons (including homeless youth)","1","0","1","0","0"
"b4. Staying or living with family, temporary tenure (e.g. room, apartment or house)","1","0","0","1","0"
"b5. Staying or living with friends, temporary tenure (e.g. room, apartment or house)","1","0","1","0","0"
"b6. Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)","1","1","0","0","0"
"b7. Safe Haven","1","0","0","0","1"
"b8. Hotel or motel paid for without emergency shelter voucher","1","1","0","0","0"
"b9. Host Home (non-crisis)","1","0","1","0","0"
"bz. Total","9","3","3","1","2"
"c. Institutional settings","","","","",""
"c1. Foster care home or group foster care home","1","0","1","0","0"
"c2. Psychiatric hospital or other psychiatric facility","1","1","0","0","0"
"c3. Substance abuse treatment facility or detox center","1","0","0","1","0"
"c4. Hospital or other residential non-psychiatric medical facility","1","0","1","0","0"
"c5. Jail, prison, or juvenile detention facility","1","0","1","0","0"
"c6. Long-term care facility or nursing home","1","1","0","0","0"
"cz. Total","6","2","3","1","0"
"d. Other destinations","","","","",""
"d1. Residential project or halfway house with no homeless criteria","1","1","0","0","0"
"d2. Deceased","1","1","0","0","0"
"d3. Other","1","1","0","0","0"
"d4. Client doesn't know/Client refused","2","2","0","0","0"
"d5. Data not collected (no exit interview completed)","2","2","0","0","0"
"dz. Total","7","7","0","0","0"
"e. Total","35","17","13","3","2"
"f1. Total persons exiting to positive housing destinations","13","5","7","1","0"
"f2. Total persons whose destinations excluded them from the calculation","4","2","2","0","0"
"f3. Percentage","0.4194","0.3333","0.6364","0.3333","0"
