"",disabling_condition_Without Children,no_disabling_condition_Without Children,all_Without Children,Without Children_percent,disabling_condition_With Children And Adults,no_disabling_condition_With Children And Adults,all_With Children And Adults,With Children And Adults_percent,disabling_condition_With Only Children,no_disabling_condition_With Only Children,all_With Only Children,With Only Children_percent,disabling_condition_Unknown Household Type,no_disabling_condition_Unknown Household Type,all_Unknown Household Type,Unknown Household Type_percent
Earned,1,7,8,0.125,0,1,1,0,1,6,7,0.14285714285714285,0,0,0,0
SSI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSDI,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
VADisabilityService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrivateDisability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WorkersComp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANF,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SocSecRetirement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChildSupport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Sources,0,5,5,0,0,0,0,0,1,4,5,0.2,0,0,0,0
Unduplicated Total Adults,1,12,13,0,0,2,2,0,3,10,13,0.23076923076923078,0,0,0,0
