"Category","Number of adults at start","Number of adults at annual assessment (stayers)","Number of adults at exit (leavers)"
"a. Adults with only earned income (i.e., employment income)",8,4,3
"b. Adults with only other income",24,19,7
"c. Adults with both earned and other income",1,1,0
"d. Adults with no income",6,2,0
"e. Adults with Client Doesn't Know/Client Refused income information",0,0,0
"f. Adults with missing income information",0,0,0
"g. Number of adult stayers not yet required to have an annual assessment",,3,
"h. Number of adult stayers without required annual assessment",,0,
"i. Total adults",39,29,10
"j. 1 or more source of income",33,24,10
"k. Adults with income information at start AND follow-up/exit",,26,10
