"",At Start,At Annual Assessment for Stayers,At Exit for Leavers
MEDICAID,24,0,18
MEDICARE,0,0,0
State Children’s Health Insurance Program,0,0,1
Veteran’s Administration (VA) Medical Services,0,0,0
Employer – Provided Health Insurance,6,0,5
Health Insurance obtained through COBRA,0,0,0
Private Pay Health Insurance,0,0,0
State Health Insurance for Adults,1,0,0
Indian Health Services Program,0,0,0
Other,2,0,2
No health insurance,6,0,4
Client Doesn't Know/Refused,0,0,0
Data Not Collected,3,1,2
Annual assessment not required,0,8,0
One source of insurance,29,0,24
More than one source of insurance,2,0,1
