ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,ResidentialAffiliation,TrackingMethod,HMISParticipatingProject,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1362,1361,DataLab - ES-EE ESG I,ES-EE ESG I,2017-03-22,,1,1,1,,0,1,4,2,,2017-03-22 10:57:27,2022-08-15 12:16:04,27,,MERGED-ID
1495,75,DataLab - RRH CoC II,RRH CoC II,2019-09-01,,1,13,3,,,1,4,2,,2019-07-01 10:38:34,2019-08-22 14:49:53,23,,MERGED-ID
1615,450,DataLab - SSO CoC,SSO CoC,2020-11-09,,1,6,,0,,1,4,2,,2020-11-09 08:46:42,2022-09-26 12:34:59,18,,MERGED-ID
1060,1060,DataLab - RRH ESG I,RRH ESG I,2013-02-08,,1,13,3,,,1,4,2,,2013-02-08 09:57:21,2018-10-12 11:37:07,23,,MERGED-ID
780,773,DataLab - PSH CoC I,PSH CoC I,2008-09-16,,1,3,3,,,1,4,2,,2008-09-16 09:31:33,2021-12-09 18:02:56,27,,MERGED-ID
1428,6,DataLab - RRH CoC I,RRH CoC I,2018-01-01,,1,13,3,,,1,4,2,,2018-02-13 11:16:10,2021-12-09 17:08:01,27,,MERGED-ID
1419,119,DataLab - SO ESG,SO ESG,2018-01-01,,1,4,,,,1,4,2,,2018-01-04 16:22:50,2022-02-09 12:32:46,15,,MERGED-ID
388,106,DataLab - TH CoC,TH CoC,2002-05-02,,1,2,1,,,1,,2,,2002-05-02 11:31:47,2022-03-24 09:15:09,23,,MERGED-ID
1409,1329,DataLab - HP ESG,HP ESG,2018-01-01,,1,12,,,,1,4,2,,2017-10-31 12:27:42,2019-05-09 12:48:31,23,,MERGED-ID
93,93,DataLab - ES-NbN ESG,ES-NbN ESG,2002-10-26,,1,1,1,,3,1,4,2,,2001-06-29 15:25:09,2022-06-27 14:05:59,15,,MERGED-ID
