CEParticipationID,ProjectID,AccessPoint,PreventionAssessment,CrisisAssessment,HousingAssessment,DirectServices,ReceivesReferrals,CEParticipationStatusStartDate,CEParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
GR-1362,1362,0,,,,,0,2017-03-22,,2022-08-15 12:16:04,2022-08-15 12:16:04,27,,1036
GR-93,93,0,,,,,0,2002-10-26,,2022-06-27 14:05:59,2022-06-27 14:05:59,15,,1036
GR-1409,1409,0,,,,,0,2018-01-01,,2019-05-09 12:48:31,2019-05-09 12:48:31,23,,1036
GR-780,780,0,,,,,0,2008-09-16,,2021-12-09 18:02:56,2021-12-09 18:02:56,27,,1036
GR-1428,1428,0,,,,,0,2018-01-01,,2021-12-09 17:08:01,2021-12-09 17:08:01,27,,1036
GR-1495,1495,0,,,,,0,2019-09-01,,2019-08-22 14:49:53,2019-08-22 14:49:53,23,,1036
GR-1060,1060,0,,,,,0,2013-02-08,,2018-10-12 11:37:07,2018-10-12 11:37:07,23,,1036
GR-1419,1419,0,,,,,0,2018-01-01,,2022-02-09 12:32:46,2022-02-09 12:32:46,15,,1036
GR-1615,1615,0,,,,,0,2020-11-09,,2022-09-26 12:34:59,2022-09-26 12:34:59,18,,1036
GR-388,388,0,,,,,0,2002-05-02,,2022-03-24 09:15:09,2022-03-24 09:15:09,23,,1036
