"AssessmentQuestionID","AssessmentID","EnrollmentID","PersonalID","AssessmentQuestionGroup","AssessmentQuestionOrder","AssessmentQuestion","AssessmentAnswer","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
95311_198631_1,95311_198631,198631,107404,,1,assessment_date,2024-02-13,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_2,95311_198631,198631,107404,,2,assessment_location,10,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_3,95311_198631,198631,107404,,3,assessment_type,2,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_4,95311_198631,198631,107404,,4,assessment_level,2,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_5,95311_198631,198631,107404,,5,c_housing_assessment_name,3,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_6,95311_198631,198631,107404,,6,c_pathways_assessing_agency,4,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_7,95311_198631,198631,107404,,7,c_share_permission,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_8,95311_198631,198631,107404,,8,c_casemanager_contacts,"L, Start",2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_9,95311_198631,198631,107404,,9,c_hang_outs_day,Cass,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_10,95311_198631,198631,107404,,10,c_hang_outs_night,Bridge,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_11,95311_198631,198631,107404,,11,c_other_method_contacts,text me,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_12,95311_198631,198631,107404,,12,c_pathways_Household_size,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_13,95311_198631,198631,107404,,13,c_pathway_pregnant_parentingchild,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_14,95311_198631,198631,107404,,14,c_pathways_adult_couple_coordination_matching,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_15,95311_198631,198631,107404,,15,c_additional_household_members_coordination_warehouseID,,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_16,95311_198631,198631,107404,,16,c_singleadult_sro,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_17,95311_198631,198631,107404,,17,c_larger_room_size,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_18,95311_198631,198631,107404,,18,c_disability_accomodations,5,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_19,95311_198631,198631,107404,,19,c_interested_rrh,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_20,95311_198631,198631,107404,,20,c_pathways_barriers_yn,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_21,95311_198631,198631,107404,,21,c_pathways_barrier_meth,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_22,95311_198631,198631,107404,,22,c_pathways_barrier_PHAterm,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_23,95311_198631,198631,107404,,23,c_pathways_barrier_SORI,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_24,95311_198631,198631,107404,,24,c_pathways_barriers_other,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_25,95311_198631,198631,107404,,25,c_pathways_service_indicators,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_26,95311_198631,198631,107404,,26,c_pathways_service_indicators_shelter_restriction,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_27,95311_198631,198631,107404,,27,c_pathways_service_indicators_dangerous_weather,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_28,95311_198631,198631,107404,,28,c_pathways_service_indicators_Bostonhomeless_10years,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_29,95311_198631,198631,107404,,29,c_pathways_service_indicators_legal,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_30,95311_198631,198631,107404,,30,c_pathways_service_indicators_HUES,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_31,95311_198631,198631,107404,,31,c_pathways_service_indicators_highrisk_exploitative,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_32,95311_198631,198631,107404,,32,c_pathways_service_indicators_shelter_recidivism,0,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_33,95311_198631,198631,107404,,33,c_pathways_service_indicators_medical,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_34,95311_198631,198631,107404,,34,c_pathways_service_indicators_Sectioned,1,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_35,95311_198631,198631,107404,,35,c_pathways_first_date_homeless,,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_36,95311_198631,198631,107404,,36,c_boston_homeless_nights_sheltered_wiw,50,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_37,95311_198631,198631,107404,,37,c_add_boston_nights_sheltered_pathways,25,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_38,95311_198631,198631,107404,,38,c_boston_homeless_nights_outside_wiw,250,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_39,95311_198631,198631,107404,,39,c_add_boston_nights_outside_pathways,350,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_40,95311_198631,198631,107404,,40,c_pathways_nights_sheltered_warehouse_added_total,75,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_41,95311_198631,198631,107404,,41,c_pathways_nights_unsheltered_warehouse_added_total,600,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_42,95311_198631,198631,107404,,42,c_new_boston_homeless_nights_total,675,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_43,95311_198631,198631,107404,,43,c_pathways_paper_Y_N,,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_44,95311_198631,198631,107404,,44,c_pathways_paper_assessor_name,,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
95311_198631_45,95311_198631,198631,107404,,45,c_pathways_paper_date,,2024-02-13 18:08:13,2024-02-13 18:08:13,899,,8251
111611_198633_1,111611_198633,198633,106926,,1,assessment_date,2024-09-17,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_2,111611_198633,198633,106926,,2,assessment_location,10,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_3,111611_198633,198633,106926,,3,assessment_type,3,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_4,111611_198633,198633,106926,,4,assessment_level,2,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_5,111611_198633,198633,106926,,5,c_housing_assessment_name,3,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_6,111611_198633,198633,106926,,6,c_pathways_assessing_agency,4,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_7,111611_198633,198633,106926,,7,c_share_permission,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_8,111611_198633,198633,106926,,8,c_casemanager_contacts,No,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_9,111611_198633,198633,106926,,9,c_hang_outs_day,No,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_10,111611_198633,198633,106926,,10,c_hang_outs_night,NoNo,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_11,111611_198633,198633,106926,,11,c_other_method_contacts,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_12,111611_198633,198633,106926,,12,c_pathways_Household_size,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_13,111611_198633,198633,106926,,13,c_pathway_pregnant_parentingchild,0,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_14,111611_198633,198633,106926,,14,c_pathways_adult_couple_coordination_matching,0,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_15,111611_198633,198633,106926,,15,c_additional_household_members_coordination_warehouseID,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_16,111611_198633,198633,106926,,16,c_singleadult_sro,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_17,111611_198633,198633,106926,,17,c_larger_room_size,5,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_18,111611_198633,198633,106926,,18,c_disability_accomodations,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_19,111611_198633,198633,106926,,19,c_interested_rrh,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_20,111611_198633,198633,106926,,20,c_pathways_barriers_yn,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_21,111611_198633,198633,106926,,21,c_pathways_barrier_meth,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_22,111611_198633,198633,106926,,22,c_pathways_barrier_PHAterm,1,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_23,111611_198633,198633,106926,,23,c_pathways_barrier_SORI,0,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_24,111611_198633,198633,106926,,24,c_pathways_barriers_other,0,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_25,111611_198633,198633,106926,,25,c_pathways_service_indicators,0,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_26,111611_198633,198633,106926,,26,c_pathways_service_indicators_shelter_restriction,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_27,111611_198633,198633,106926,,27,c_pathways_service_indicators_dangerous_weather,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_28,111611_198633,198633,106926,,28,c_pathways_service_indicators_Bostonhomeless_10years,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_29,111611_198633,198633,106926,,29,c_pathways_service_indicators_legal,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_30,111611_198633,198633,106926,,30,c_pathways_service_indicators_HUES,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_31,111611_198633,198633,106926,,31,c_pathways_service_indicators_highrisk_exploitative,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_32,111611_198633,198633,106926,,32,c_pathways_service_indicators_shelter_recidivism,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_33,111611_198633,198633,106926,,33,c_pathways_service_indicators_medical,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_34,111611_198633,198633,106926,,34,c_pathways_service_indicators_Sectioned,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_35,111611_198633,198633,106926,,35,c_pathways_first_date_homeless,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_36,111611_198633,198633,106926,,36,c_boston_homeless_nights_sheltered_wiw,250,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_37,111611_198633,198633,106926,,37,c_add_boston_nights_sheltered_pathways,100,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_38,111611_198633,198633,106926,,38,c_boston_homeless_nights_outside_wiw,500,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_39,111611_198633,198633,106926,,39,c_add_boston_nights_outside_pathways,500,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_40,111611_198633,198633,106926,,40,c_pathways_nights_sheltered_warehouse_added_total,350,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_41,111611_198633,198633,106926,,41,c_pathways_nights_unsheltered_warehouse_added_total,1000,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_42,111611_198633,198633,106926,,42,c_new_boston_homeless_nights_total,1350,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_43,111611_198633,198633,106926,,43,c_pathways_paper_Y_N,0,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_44,111611_198633,198633,106926,,44,c_pathways_paper_assessor_name,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
111611_198633_45,111611_198633,198633,106926,,45,c_pathways_paper_date,,2024-09-17 11:56:10,2024-09-17 11:56:10,899,,8251
95310_198630_1,95310_198630,198630,114450,,1,assessment_date,2024-02-13,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_2,95310_198630,198630,114450,,2,assessment_location,14,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_3,95310_198630,198630,114450,,3,assessment_type,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_4,95310_198630,198630,114450,,4,assessment_level,2,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_5,95310_198630,198630,114450,,5,c_housing_assessment_name,3,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_6,95310_198630,198630,114450,,6,c_pathways_assessing_agency,5,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_7,95310_198630,198630,114450,,7,c_share_permission,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_8,95310_198630,198630,114450,,8,c_casemanager_contacts,"C, Inn",2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_9,95310_198630,198630,114450,,9,c_hang_outs_day,House,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_10,95310_198630,198630,114450,,10,c_hang_outs_night,Inn,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_11,95310_198630,198630,114450,,11,c_other_method_contacts,call me,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_12,95310_198630,198630,114450,,12,c_pathways_Household_size,2,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_13,95310_198630,198630,114450,,13,c_pathway_pregnant_parentingchild,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_14,95310_198630,198630,114450,,14,c_pathways_adult_couple_coordination_matching,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_15,95310_198630,198630,114450,,15,c_additional_household_members_coordination_warehouseID,Fake 66935,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_16,95310_198630,198630,114450,,16,c_singleadult_sro,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_17,95310_198630,198630,114450,,17,c_larger_room_size,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_18,95310_198630,198630,114450,,18,c_disability_accomodations,2,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_19,95310_198630,198630,114450,,19,c_interested_rrh,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_20,95310_198630,198630,114450,,20,c_pathways_barriers_yn,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_21,95310_198630,198630,114450,,21,c_pathways_barrier_meth,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_22,95310_198630,198630,114450,,22,c_pathways_barrier_PHAterm,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_23,95310_198630,198630,114450,,23,c_pathways_barrier_SORI,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_24,95310_198630,198630,114450,,24,c_pathways_barriers_other,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_25,95310_198630,198630,114450,,25,c_pathways_service_indicators,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_26,95310_198630,198630,114450,,26,c_pathways_service_indicators_shelter_restriction,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_27,95310_198630,198630,114450,,27,c_pathways_service_indicators_dangerous_weather,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_28,95310_198630,198630,114450,,28,c_pathways_service_indicators_Bostonhomeless_10years,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_29,95310_198630,198630,114450,,29,c_pathways_service_indicators_legal,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_30,95310_198630,198630,114450,,30,c_pathways_service_indicators_HUES,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_31,95310_198630,198630,114450,,31,c_pathways_service_indicators_highrisk_exploitative,1,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_32,95310_198630,198630,114450,,32,c_pathways_service_indicators_shelter_recidivism,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_33,95310_198630,198630,114450,,33,c_pathways_service_indicators_medical,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_34,95310_198630,198630,114450,,34,c_pathways_service_indicators_Sectioned,0,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_35,95310_198630,198630,114450,,35,c_pathways_first_date_homeless,,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
95310_198630_36,95310_198630,198630,114450,,36,c_boston_homeless_nights_sheltered_wiw,654,2024-02-13 18:00:39,2024-02-13 18:00:39,899,,8251
