RowTotal,Stat,ReturnTime,HHType,HHChronic,HHVet,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdult,HHChild,HHNoDOB,HHAdultAge,HHParent,ESTStatus,ESTGeography,ESTLivingSit,ESTDestination,ESTChronic,ESTVet,ESTDisability,ESTFleeingDV,ESTAC3Plus,ESTAdultAge,ESTParent,RRHStatus,RRHMoveIn,RRHGeography,RRHLivingSit,RRHDestination,RRHPreMoveInDays,RRHChronic,RRHVet,RRHDisability,RRHFleeingDV,RRHAC3Plus,RRHAdultAge,RRHParent,PSHStatus,PSHMoveIn,PSHGeography,PSHLivingSit,PSHDestination,PSHHousedDays,PSHChronic,PSHVet,PSHDisability,PSHFleeingDV,PSHAC3Plus,PSHAdultAge,PSHParent,ESDays,THDays,ESTDays,RRHPSHPreMoveInDays,RRHHousedDays,SystemDaysNotPSHHoused,SystemHomelessDays,Other3917Days,TotalHomelessDays,SystemPath,ESTAHAR,RRHAHAR,PSHAHAR,RRHSOStatus,RRHSOMoveIn,ReportID
1,1,-1,1,0,0,0,0,5,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,310050732
1,1,-1,1,1,0,1,0,5,1,0,0,24,0,2,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,7,0,7,0,0,7,7,60,60,1,0,0,0,11,0,310050732
1,1,-1,1,9,0,1,0,5,1,0,0,55,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,310050732
1,1,-1,2,0,0,0,0,5,1,1,0,25,1,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,2,310050732
1,4,60,1,1,0,1,0,35,1,0,0,25,0,2,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,30,0,30,0,0,30,30,60,60,1,0,0,0,11,0,310050732
1,4,60,1,1,0,1,2,5,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,60,60,12,0,0,0,11,0,310050732
1,4,90,1,0,0,0,0,5,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,2,310050732
1,4,180,1,6,0,1,2,5,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,365,365,12,0,0,0,11,2,310050732
1,5,-1,1,0,0,0,0,1,1,0,0,18,0,11,1,101,-1,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,60,547,547,0,0,547,547,7,547,3,1,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,2,1,0,0,24,0,2,-1,-1,-1,0,0,0,0,0,-1,0,11,0,1,204,-1,547,0,0,0,0,0,24,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,30,0,30,547,0,547,547,60,547,5,0,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,18,0,11,1,101,-1,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,1094,1094,0,0,1094,1094,180,1094,2,1,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,18,0,11,1,116,-1,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,30,547,547,0,0,547,547,0,547,3,1,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,18,0,11,1,335,-1,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,547,547,0,0,547,547,0,547,2,1,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,18,0,11,1,336,-1,0,0,0,0,0,18,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,547,547,0,0,547,547,0,547,2,1,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,11,0,2,410,-1,1095,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1095,0,1095,1095,0,1095,4,0,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,11,0,2,434,-1,1095,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1095,0,1095,1095,0,1095,4,0,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,11,0,3,207,-1,547,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,547,0,547,547,0,547,4,0,0,0,0,-1,310050732
1,5,-1,1,0,0,0,0,3,1,0,0,25,0,0,-1,-1,-1,0,0,0,0,0,-1,0,11,2,1,101,-1,7,0,0,0,0,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,7,730,730,7,0,7,4,0,1,0,0,-1,310050732
