Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID
44,1,10,1,13,-1,"993",53,310050732
6,1,10,1,14,-1,"1051",53,310050732
1,1,10,1,14,-1,"1055",53,310050732
9,1,10,1,14,-1,"1060",53,310050732
2,1,10,1,14,-1,"1081",53,310050732
1,1,10,1,14,-1,"1176",53,310050732
1,1,10,1,14,-1,"1182",53,310050732
8,1,10,1,14,-1,"1187",53,310050732
24,1,10,1,14,-1,"1212",53,310050732
3,1,10,1,14,-1,"1215",53,310050732
1,1,10,1,14,-1,"1240",53,310050732
9,1,10,1,14,-1,"1330",53,310050732
43,1,10,1,14,-1,"1343",53,310050732
12,1,10,1,14,-1,"1349",53,310050732
7,1,10,1,14,-1,"1362",53,310050732
6,1,10,1,14,-1,"1396",53,310050732
1,1,10,1,14,-1,"1397",53,310050732
11,1,10,1,14,-1,"1408",53,310050732
4,1,10,1,14,-1,"1416",53,310050732
3,1,10,1,14,-1,"1418",53,310050732
4,1,10,1,14,-1,"1428",53,310050732
2,1,10,1,14,-1,"1435",53,310050732
1,1,10,1,14,-1,"1448",53,310050732
20,1,10,1,14,-1,"1476",53,310050732
8,1,10,1,14,-1,"1484",53,310050732
8,1,10,1,14,-1,"1490",53,310050732
2,1,10,1,14,-1,"1510",53,310050732
5,1,10,1,14,-1,"1516",53,310050732
13,1,10,1,14,-1,"1517",53,310050732
8,1,10,1,14,-1,"1520",53,310050732
2,1,10,1,14,-1,"1537",53,310050732
12,1,10,1,14,-1,"1550",53,310050732
24,1,10,1,14,-1,"1556",53,310050732
13,1,10,1,14,-1,"1563",53,310050732
14,1,10,1,14,-1,"1568",53,310050732
2,1,10,1,14,-1,"1575",53,310050732
30,1,10,1,14,-1,"1601",53,310050732
47,1,10,1,14,-1,"1625",53,310050732
7,1,10,1,14,-1,"1629",53,310050732
1,1,10,1,14,-1,"1680",53,310050732
1,1,10,1,14,-1,"1683",53,310050732
1,1,10,1,14,-1,"1685",53,310050732
6,1,10,1,14,-1,"1690",53,310050732
7,1,10,1,14,-1,"1694",53,310050732
8,1,10,1,14,-1,"1724",53,310050732
5,1,10,1,14,-1,"1729",53,310050732
1,1,10,1,14,-1,"1731",53,310050732
1,1,10,1,14,-1,"1732",53,310050732
7,1,10,1,14,-1,"1735",53,310050732
1,1,10,1,14,-1,"1740",53,310050732
5,1,10,1,14,-1,"234",53,310050732
4,1,10,1,14,-1,"340",53,310050732
6,1,10,1,14,-1,"342",53,310050732
12,1,10,1,14,-1,"388",53,310050732
8,1,10,1,14,-1,"389",53,310050732
16,1,10,1,14,-1,"40",53,310050732
28,1,10,1,14,-1,"414",53,310050732
7,1,10,1,14,-1,"475",53,310050732
11,1,10,1,14,-1,"486",53,310050732
2,1,10,1,14,-1,"488",53,310050732
3,1,10,1,14,-1,"55",53,310050732
9,1,10,1,14,-1,"563",53,310050732
10,1,10,1,14,-1,"565",53,310050732
3,1,10,1,14,-1,"606",53,310050732
2,1,10,1,14,-1,"607",53,310050732
3,1,10,1,14,-1,"608",53,310050732
1,1,10,1,14,-1,"609",53,310050732
7,1,10,1,14,-1,"632",53,310050732
14,1,10,1,14,-1,"671",53,310050732
6,1,10,1,14,-1,"712",53,310050732
2,1,10,1,14,-1,"717",53,310050732
2,1,10,1,14,-1,"760",53,310050732
59,1,10,1,14,-1,"773",53,310050732
18,1,10,1,14,-1,"780",53,310050732
4,1,10,1,14,-1,"906",53,310050732
3,1,10,1,14,-1,"907",53,310050732
38,1,10,1,14,-1,"95",53,310050732
6,1,10,1,14,-1,"97",53,310050732
1,1,10,1,14,-1,"980",53,310050732
6,1,10,1,15,-1,"1187",53,310050732
1,1,10,1,15,-1,"1210",53,310050732
15,1,10,1,15,-1,"1212",53,310050732
1,1,10,1,15,-1,"1240",53,310050732
5,1,10,1,15,-1,"1362",53,310050732
3,1,10,1,15,-1,"1395",53,310050732
2,1,10,1,15,-1,"1396",53,310050732
8,1,10,1,15,-1,"1490",53,310050732
5,1,10,1,15,-1,"1690",53,310050732
5,1,10,1,15,-1,"234",53,310050732
18,1,10,1,15,-1,"414",53,310050732
2,1,10,1,15,-1,"475",53,310050732
11,1,10,1,15,-1,"486",53,310050732
5,1,10,1,15,-1,"563",53,310050732
2,1,10,1,15,-1,"607",53,310050732
2,1,10,1,15,-1,"609",53,310050732
11,1,10,1,15,-1,"671",53,310050732
6,1,10,1,15,-1,"712",53,310050732
2,1,10,1,15,-1,"717",53,310050732
47,1,10,1,15,-1,"773",53,310050732
27,1,10,1,15,-1,"95",53,310050732
3,1,10,1,15,-1,"97",53,310050732
5,1,10,1,18,-1,"1051",53,310050732
1,1,10,1,18,-1,"1055",53,310050732
8,1,10,1,18,-1,"1060",53,310050732
5,1,10,1,18,-1,"1176",53,310050732
28,1,10,1,18,-1,"1178",53,310050732
13,1,10,1,18,-1,"1182",53,310050732
6,1,10,1,18,-1,"1187",53,310050732
1,1,10,1,18,-1,"1210",53,310050732
15,1,10,1,18,-1,"1212",53,310050732
6,1,10,1,18,-1,"1215",53,310050732
1,1,10,1,18,-1,"1236",53,310050732
1,1,10,1,18,-1,"1240",53,310050732
3,1,10,1,18,-1,"1249",53,310050732
1,1,10,1,18,-1,"1305",53,310050732
13,1,10,1,18,-1,"1330",53,310050732
33,1,10,1,18,-1,"1343",53,310050732
12,1,10,1,18,-1,"1349",53,310050732
1,1,10,1,18,-1,"1351",53,310050732
5,1,10,1,18,-1,"1362",53,310050732
4,1,10,1,18,-1,"1395",53,310050732
2,1,10,1,18,-1,"1396",53,310050732
11,1,10,1,18,-1,"1408",53,310050732
5,1,10,1,18,-1,"1416",53,310050732
3,1,10,1,18,-1,"1418",53,310050732
4,1,10,1,18,-1,"1428",53,310050732
3,1,10,1,18,-1,"1435",53,310050732
2,1,10,1,18,-1,"1448",53,310050732
3,1,10,1,18,-1,"1452",53,310050732
4,1,10,1,18,-1,"1453",53,310050732
22,1,10,1,18,-1,"1476",53,310050732
6,1,10,1,18,-1,"1484",53,310050732
9,1,10,1,18,-1,"1487",53,310050732
14,1,10,1,18,-1,"1488",53,310050732
8,1,10,1,18,-1,"1490",53,310050732
1,1,10,1,18,-1,"1495",53,310050732
45,1,10,1,18,-1,"1510",53,310050732
5,1,10,1,18,-1,"1516",53,310050732
8,1,10,1,18,-1,"1517",53,310050732
1,1,10,1,18,-1,"1518",53,310050732
5,1,10,1,18,-1,"1520",53,310050732
4,1,10,1,18,-1,"1537",53,310050732
14,1,10,1,18,-1,"1550",53,310050732
13,1,10,1,18,-1,"1556",53,310050732
9,1,10,1,18,-1,"1563",53,310050732
9,1,10,1,18,-1,"1568",53,310050732
2,1,10,1,18,-1,"1575",53,310050732
24,1,10,1,18,-1,"1601",53,310050732
50,1,10,1,18,-1,"1625",53,310050732
7,1,10,1,18,-1,"1629",53,310050732
2,1,10,1,18,-1,"1638",53,310050732
1,1,10,1,18,-1,"1672",53,310050732
