ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1021","1668","XX-501","196745","776 Cedar Ave",,"Centerville","XX","86422",3,"2021-05-07 15:43:52","2021-12-15 09:26:54",,,310050732
"1025","1672","XX-501","196543","475 Main Rd",,"Chester","XX","64658",1,"2021-06-02 10:36:14","2021-06-02 10:36:14",,,310050732
"1032","1629","XX-501","192688","836 Third Ave",,"Clinton","XX","12256",1,"2021-08-10 15:42:37","2021-08-10 15:42:37",,,310050732
"1034","1680","XX-501","195822","777 Second Way",,"Springfield","XX","18587",3,"2021-08-10 15:46:07","2021-08-10 16:03:58",,,310050732
"1037","1683","XX-501","195588","431 Park Ave",,"Washington","XX","86252",1,"2021-09-01 10:37:23","2021-09-01 10:37:23",,,310050732
"1038","1684","XX-501","199288","135 Oak Rd",,"Greenville","XX","23746",3,"2021-09-23 10:59:55","2021-09-23 10:59:55",,,310050732
"1039","1685","XX-501","199288","647 Pine Way",,"Greenville","XX","23746",3,"2021-09-23 11:00:26","2021-09-23 11:00:26",,,310050732
"1040","1686","XX-501","191967","659 Cedar St",,"Fairview","XX","18648",3,"2021-09-23 11:01:05","2021-09-23 11:01:05",,,310050732
"1044","1690","XX-501","191845","199 Park St",,"Franklin","XX","61147",3,"2021-09-23 11:33:47","2021-09-23 11:33:47",,,310050732
"1048","1694","XX-501","196291","123 Oak Ave",,"Bristol","XX","63442",1,"2021-10-07 14:56:44","2021-10-07 14:56:44",,,310050732
"1058","1706","XX-501","191967","318 Pine Rd",,"Fairview","XX","18648",2,"2022-02-24 14:08:41","2022-02-24 14:09:41",,,310050732
"1072","1723","XX-501","195588","843 Cedar Way",,"Washington","XX","86252",1,"2022-05-06 09:23:13","2022-05-06 10:01:23",,,310050732
"1073","1724","XX-501","196543","369 Main St",,"Chester","XX","64658",1,"2022-05-06 09:47:27","2022-05-06 10:00:58",,,310050732
"1077","1728","XX-501","198861","963 Second Ave",,"Arlington","XX","27568",1,"2022-05-31 15:03:03","2022-05-31 15:03:03",,,310050732
"1078","1729","XX-501","196543","433 Third Rd",,"Chester","XX","64658",1,"2022-05-31 16:00:46","2022-05-31 16:00:46",,,310050732
"1080","1731","XX-501","192688","888 Park Way",,"Clinton","XX","12256",3,"2022-06-01 09:42:56","2022-06-01 09:42:56",,,310050732
"1081","1732","XX-501","196745","219 Oak St",,"Centerville","XX","86422",3,"2022-06-01 09:52:20","2022-06-01 09:52:20",,,310050732
"1084","1735","XX-501","196745","154 Pine Ave",,"Centerville","XX","86422",1,"2022-06-01 10:47:34","2022-06-01 10:47:34",,,310050732
"1089","1740","XX-501","191845","633 Main Way",,"Franklin","XX","61147",1,"2022-06-01 11:34:01","2022-06-01 11:34:01",,,310050732
"1094","1745","XX-501","191845","441 Third Ave",,"Franklin","XX","61147",3,"2022-06-27 13:36:06","2022-06-27 13:37:21",,,310050732
"117","1051","XX-501","196291","659 Park Ave",,"Bristol","XX","63442",1,"2014-09-29 12:56:21","2018-10-12 11:41:11",,,310050732
"118","95","XX-501","192688","427 Park Way",,"Clinton","XX","12256",1,"2014-09-29 12:56:37","2018-10-12 11:43:29",,,310050732
"123","863","XX-501","198861","927 Main Way",,"Arlington","XX","27568",2,"2014-09-29 12:59:16","2018-06-01 08:52:48",,,310050732
"126","263","XX-501","196745","653 Second St",,"Centerville","XX","86422",3,"2014-09-29 13:00:12","2018-10-12 11:45:54",,,310050732
"129","256","XX-501","196291","645 Main Way",,"Bristol","XX","63442",3,"2014-09-29 13:00:50","2018-06-01 10:32:40",,,310050732
"130","877","XX-501","191967","562 Second St",,"Fairview","XX","18648",1,"2014-09-29 13:01:08","2018-06-01 10:36:21",,,310050732
"134","862","XX-501","196745","629 Cedar Rd",,"Centerville","XX","86422",1,"2014-09-29 13:02:04","2018-06-01 10:38:43",,,310050732
"136","97","XX-501","196543","626 Oak St",,"Chester","XX","64658",1,"2014-09-29 13:02:39","2018-10-12 11:33:34",,,310050732
"140","414","XX-501","199288","386 Cedar Ave",,"Greenville","XX","23746",1,"2014-09-29 13:07:23","2018-06-07 14:44:14",,,310050732
"158","760","XX-501","196291","729 Park Way",,"Bristol","XX","63442",3,"2014-09-29 13:31:10","2018-10-12 10:00:09",,,310050732
"171","735","XX-501","196291","669 Third Rd",,"Bristol","XX","63442",1,"2014-09-29 13:40:38","2018-10-12 09:48:30",,,310050732
"177","907","XX-501","196745","741 Park Rd",,"Centerville","XX","86422",1,"2014-09-29 13:44:18","2018-10-12 10:10:26",,,310050732
"178","608","XX-501","195588","848 Third Way",,"Washington","XX","86252",3,"2014-09-29 13:50:12","2018-10-12 11:23:09",,,310050732
